e_form,vpa,gap pbe,a,c,beta,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData minimum Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData mean NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData avg_dev SpaceGroupNumber
-2.298,14.488,0.0,4.169,4.169,90.0,90.0,2.916,8.0,57.0,49.0,26.2,21.84,8.0,87.0,74.0,70.8,23.12,87.0,15.9994,61.122734,54.1480008,15.9994,54.8,1138.2,372.496,54.8,3.0,13.0,13.0,4.0,2.0,3.4,1.68,2.0,66.0,51.36,66.0,1.1,2.34,0.9168,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.2,0.0,0.0,0.0,0.0,3.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,2.0,2.16,19.4995,12.4734,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64
-2.296,12.484,1.265,5.49,8.053,90.0,90.0,-2.416,8.0,81.0,73.0,25.2,22.32,8.0,87.0,76.0,69.6,23.44,87.0,15.9994,59.4674824,57.96632704,15.9994,54.8,1759.2,511.08,54.8,3.0,13.0,12.8,3.92,2.0,3.2,1.44,2.0,66.0,43.92,66.0,1.36,2.08,0.936,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.2,0.0,14.0,14.0,2.8,3.0,24.0,9.6,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,2.0,2.4,15.292,7.4244,9.105,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.03e-06,0.0,87.36
-2.296,12.562,0.0,3.975,3.975,90.0,90.0,1.933,8.0,74.0,66.0,32.0,28.8,8.0,87.0,64.0,67.0,24.0,87.0,15.9994,76.43964,72.528288,15.9994,54.8,3640.2,1040.88,54.8,3.0,13.0,11.4,5.52,2.0,3.6,1.92,2.0,66.0,54.72,66.0,1.17,2.27,0.804,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,4.0,0.8,0.0,14.0,14.0,4.0,6.0,14.0,9.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,1.2,1.92,0.0,0.0,8.0,0.0,2.0,2.4,15.319,7.4568,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04
-2.296,14.252,0.0,4.146,4.146,90.0,90.0,-2.197,8.0,61.0,53.0,21.0,16.0,8.0,87.0,80.0,57.8,35.04,87.0,15.9994,46.61524,39.353904,15.9994,54.8,1318.2,530.48,54.8,2.0,14.0,10.6,6.48,2.0,3.2,1.44,2.0,66.0,58.32,66.0,1.0,2.44,1.134,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,5.0,5.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.4,19.7855,12.8166,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.296,10.81,0.269,5.179,7.137,90.0,90.0,0.539,8.0,68.0,60.0,24.2,19.44,8.0,87.0,52.0,72.0,18.0,87.0,15.9994,55.76064,47.713488,15.9994,54.8,1715.2,658.434,54.8,3.0,13.0,12.4,4.32,2.0,3.2,1.44,2.0,66.0,45.36,66.0,1.24,2.2,0.8976,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,10.0,10.0,2.0,0.0,12.0,12.0,2.4,6.0,8.0,8.6,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.32,13.794,6.7164,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.295,14.24,1.702,5.684,8.178,90.0,90.0,-1.407,8.0,91.0,83.0,32.6,29.52,8.0,87.0,69.0,69.8,20.72,87.0,15.9994,78.289012,74.7475344,15.9994,54.8,1790.2,520.724,54.8,3.0,13.0,12.6,4.08,2.0,3.6,1.92,2.0,66.0,50.88,66.0,1.5,1.94,0.8856,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.2,0.0,2.0,2.0,0.4,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,12.0,0.0,0.0,6.24,14.398,6.3516,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16
-2.295,15.994,0.0,4.308,4.308,90.0,90.0,1.009,8.0,92.0,84.0,27.8,25.68,8.0,87.0,67.0,65.4,25.92,87.0,15.9994,67.393722,68.2540752,15.9994,54.8,2128.2,751.08,54.8,3.0,13.0,11.2,5.76,2.0,3.4,1.68,2.0,66.0,52.08,66.0,1.38,2.06,0.9288,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,3.0,0.8,0.0,3.0,3.0,0.6,5.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,3.2,3.84,0.0,0.0,11.0,0.0,2.0,5.52,12.07,3.558,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.36
-2.295,12.379,0.0,5.587,7.918,90.0,90.0,4.148,8.0,43.0,35.0,21.0,15.6,8.0,87.0,79.0,64.4,27.12,87.0,15.9994,46.72364,36.869088,15.9994,54.8,2375.2,728.88,54.8,2.0,14.0,11.4,5.52,2.0,3.2,1.44,2.0,66.0,50.4,66.0,0.95,2.49,0.9672,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,1.12,19.166,14.0256,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.295,18.411,0.0,4.515,4.515,90.0,90.0,-0.24,8.0,90.0,82.0,29.0,25.2,8.0,87.0,71.0,70.2,21.68,87.0,15.9994,69.951852,64.8344832,15.9994,54.8,1968.2,498.062,54.8,3.0,13.0,12.8,3.92,2.0,3.4,1.68,2.0,66.0,47.04,66.0,1.3,2.14,0.9048,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.4,0.0,0.0,0.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,2.0,2.16,15.7085,7.9242,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
-2.294,11.311,0.0,5.387,7.673,90.0,90.0,1.523,8.0,58.0,50.0,22.0,16.8,8.0,87.0,72.0,67.4,23.52,87.0,15.9994,49.36152,40.034544,15.9994,54.8,1673.2,592.68,54.8,3.0,13.0,12.2,4.56,2.0,3.2,1.44,2.0,66.0,47.04,66.0,1.12,2.32,0.924,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,8.0,8.0,1.8,0.0,1.0,1.0,0.2,4.0,6.0,6.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,2.2,2.72,0.0,0.0,13.0,0.0,2.0,6.4,14.975,8.906,9.105,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.11907894,0.190526304,0.0,94.8
-2.294,12.6,0.0,5.43,7.867,90.0,90.0,1.968,8.0,58.0,50.0,25.2,20.64,8.0,87.0,72.0,66.4,24.72,87.0,15.9994,57.83684,50.204928,15.9994,54.8,2552.2,768.48,54.8,3.0,13.0,11.8,5.04,2.0,3.4,1.68,2.0,66.0,52.32,66.0,1.12,2.32,0.8544,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,7.0,7.0,1.6,0.0,1.0,1.0,0.2,4.0,4.0,6.0,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,9.0,2.4,2.88,0.0,0.0,13.0,0.0,2.0,6.24,15.613,8.6508,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36
-2.294,11.809,1.402,5.311,7.435,90.0,90.0,0.156,8.0,91.0,83.0,28.8,24.96,8.0,87.0,69.0,68.6,22.08,87.0,15.9994,68.516012,65.0079392,15.9994,54.8,1790.2,673.434,54.8,3.0,13.0,12.4,4.32,2.0,3.4,1.68,2.0,66.0,48.0,66.0,1.5,1.94,0.8352,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,10.0,10.0,2.2,0.0,2.0,2.0,0.4,5.0,6.0,6.8,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,12.0,0.0,1.0,6.16,12.713,4.9868,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6
-2.294,12.915,2.519,5.819,7.376,90.0,90.0,-2.253,3.0,58.0,55.0,17.0,16.4,8.0,87.0,86.0,55.4,37.92,87.0,6.941,39.01104,40.441984,15.9994,54.8,1016.2,337.818,54.8,1.0,15.0,10.4,6.72,2.0,2.8,1.28,2.0,66.0,48.0,66.0,0.98,2.46,1.1472,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,1.0,1.0,0.2,0.0,1.0,1.0,0.2,1.0,5.0,4.6,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,13.0,0.0,1.0,6.48,16.22966667,8.5496,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.76
-2.293,15.219,0.0,5.83,8.645,90.0,90.0,-7.438,8.0,63.0,55.0,27.6,23.52,8.0,87.0,62.0,74.2,19.68,87.0,15.9994,64.34444,58.014048,15.9994,54.8,1040.2,432.636,54.8,3.0,13.0,13.2,4.08,2.0,3.4,1.68,2.0,66.0,49.2,66.0,1.185,2.255,0.8748,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.0,0.0,7.0,7.0,1.4,6.0,9.0,8.4,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.52,19.067,11.9544,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04
-2.292,14.25,0.0,5.528,8.683,90.0,90.0,-8.456,8.0,63.0,55.0,24.0,19.2,8.0,87.0,62.0,74.0,19.6,87.0,15.9994,54.97676,46.772832,15.9994,54.8,1040.2,469.88,54.8,3.0,13.0,13.2,4.08,2.0,3.2,1.44,2.0,66.0,44.4,66.0,1.185,2.255,0.8436,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.0,0.0,7.0,7.0,1.4,6.0,9.0,8.4,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.52,17.19,9.702,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04
-2.29,13.606,1.573,6.025,6.025,54.8,54.8,-4.123,8.0,65.0,57.0,23.2,18.24,8.0,87.0,58.0,69.6,20.88,87.0,15.9994,53.171349,44.6063388,15.9994,54.8,1713.2,712.28,54.8,3.0,13.0,12.0,4.8,2.0,3.2,1.44,2.0,66.0,45.12,66.0,1.21,2.23,0.9096,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,7.0,7.0,1.4,0.0,9.0,9.0,1.8,6.0,5.0,7.6,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,0.6,0.96,0.0,0.0,5.0,0.0,2.0,0.96,13.85933333,7.150933333,9.105,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.30969424,0.495510784,0.0,87.36
-2.29,18.683,0.0,4.537,4.537,90.0,90.0,-1.197,8.0,90.0,82.0,32.4,29.28,8.0,87.0,71.0,69.4,21.36,87.0,15.9994,78.489452,74.9880624,15.9994,54.8,1968.2,556.324,54.8,3.0,13.0,12.6,4.08,2.0,3.6,1.92,2.0,66.0,52.32,66.0,1.3,2.14,0.9336,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.4,0.0,0.0,0.0,0.0,4.0,8.0,6.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,0.0,2.08,15.836,8.0772,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.289,15.528,0.0,4.266,4.266,90.0,90.0,-1.453,8.0,63.0,55.0,29.6,25.92,8.0,87.0,66.0,61.4,30.72,87.0,15.9994,68.99244,63.591648,15.9994,54.8,1318.2,526.48,54.8,3.0,13.0,10.8,6.24,2.0,3.6,1.92,2.0,66.0,63.6,66.0,1.155,2.285,1.0896,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,2.4,6.0,3.0,6.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,2.88,19.5235,12.5022,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.76
-2.289,17.731,0.0,4.459,4.459,90.0,90.0,2.285,8.0,91.0,83.0,37.2,35.04,8.0,87.0,69.0,64.0,27.6,87.0,15.9994,90.800172,89.7609264,15.9994,54.8,1881.2,789.08,54.8,3.0,13.0,10.8,6.24,2.0,3.8,2.16,2.0,66.0,61.2,66.0,1.27,2.17,0.9864,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.4,0.0,14.0,14.0,3.2,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,3.6,4.32,0.0,0.0,12.0,0.0,2.0,6.24,16.272,8.6004,9.105,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,74.16
-2.288,10.867,0.0,5.195,7.163,90.0,90.0,0.608,8.0,67.0,59.0,24.0,19.2,8.0,87.0,54.0,71.6,18.48,87.0,15.9994,55.294904,47.1546048,15.9994,54.8,1692.2,653.834,54.8,3.0,13.0,12.4,4.32,2.0,3.2,1.44,2.0,66.0,46.08,66.0,1.23,2.21,0.9,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,10.0,10.0,2.0,0.0,11.0,11.0,2.2,6.0,7.0,8.4,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.4,13.82366667,6.763866667,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.288,12.631,0.671,5.469,7.893,90.0,90.0,1.093,8.0,58.0,50.0,25.4,20.88,8.0,87.0,72.0,67.0,24.0,87.0,15.9994,58.20394,50.645448,15.9994,54.8,2182.2,694.48,54.8,3.0,13.0,12.0,4.8,2.0,3.4,1.68,2.0,66.0,51.36,66.0,1.12,2.32,0.8352,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,8.0,8.0,1.8,0.0,1.0,1.0,0.2,4.0,5.0,6.2,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,9.0,2.2,2.72,0.0,0.0,13.0,0.0,2.0,6.32,15.639,8.6404,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
