e_form,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData minimum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,maximum oxidation state,range oxidation state,std_dev oxidation state
-3.769,0.0,14.002,5.041,5.699,5.95,8.258,90.0,90.0,90.0,4.963,8.0,71.0,8.0,19.0,87.0,68.0,64.2,27.36,87.0,15.9994,174.9668,158.9674,73.4414,68.9304,15.9994,54.8,1936.0,1881.2,678.88,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,201.0,135.0,117.2,66.0,1.14,3.44,2.3,1.0728,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,14.0,14.0,4.32,0.0,6.0,17.0,11.0,8.2,3.52,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,10.0,10.0,2.0,3.2,0.0,2.0,10.0,5.0,3.6,34.81,25.705,18.198,10.9116,9.105,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.76,0.0,12.664,4.491,5.511,5.778,7.954,90.0,90.0,90.0,5.249,8.0,62.0,8.0,11.0,87.0,76.0,59.0,33.6,87.0,15.9994,150.36,134.3606,48.6628224,40.67887104,15.9994,54.8,1814.0,1759.2,664.68,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,198.0,132.0,113.2,66.0,1.17,3.44,2.27,1.044,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,6.0,6.0,1.92,0.0,3.0,8.0,5.0,5.8,1.12,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,8.0,8.0,1.6,2.56,0.0,2.0,9.0,4.6,3.12,33.23,24.125,16.556,8.9412,9.105,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.03e-06,0.0,12.0,194.0,182.0,79.2,80.64,12.0,3.0,5.0,3.273268354
-3.759,0.0,14.973,4.546,5.849,6.063,8.445,90.0,90.0,90.0,4.805,8.0,67.0,8.0,13.0,87.0,74.0,61.4,30.72,87.0,15.9994,164.93032,148.93092,70.366798,65.2408776,15.9994,54.8,1747.0,1692.2,620.88,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,207.0,141.0,119.4,66.0,1.1,3.44,2.34,1.092,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,11.0,11.0,3.52,0.0,3.0,13.0,10.0,6.8,2.48,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,3.0,3.0,0.6,0.96,0.0,2.0,9.0,3.6,2.16,36.8975,27.7925,18.98916667,11.861,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.736,0.0,12.923,4.473,5.565,5.802,8.004,90.0,90.0,90.0,5.348,8.0,60.0,8.0,11.0,87.0,76.0,58.2,34.56,87.0,15.9994,144.242,128.2426,47.4392224,38.72111104,15.9994,54.8,1814.0,1759.2,654.48,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,201.0,135.0,113.8,66.0,1.14,3.44,2.3,1.0512,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,4.0,4.0,1.28,0.0,3.0,6.0,3.0,5.4,0.96,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,10.0,10.0,2.0,3.2,0.0,2.0,10.0,5.0,3.6,34.81,25.705,16.872,9.3204,9.105,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.03e-06,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.736,0.0,14.375,5.074,5.767,5.994,8.318,90.0,90.0,90.0,5.161,8.0,71.0,8.0,15.0,87.0,72.0,63.4,28.32,87.0,15.9994,174.9668,158.9674,72.6162,67.94016,15.9994,54.8,1936.0,1881.2,634.28,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,204.0,138.0,117.8,66.0,1.12,3.44,2.32,1.0776,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.48,0.0,14.0,14.0,4.4,0.0,4.0,17.0,13.0,7.8,3.68,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,4.32,0.0,13.0,13.0,2.6,4.16,0.0,2.0,22.0,7.4,6.48,37.24,28.135,18.684,11.4948,9.105,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.731,0.0,15.716,4.552,5.975,6.152,8.551,90.0,90.0,90.0,5.577,8.0,89.0,8.0,14.0,87.0,73.0,61.6,30.48,87.0,15.9994,227.0,211.0006,87.985704,86.3835648,15.9994,54.8,1747.0,1692.2,646.88,54.8,3.0,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,215.0,149.0,121.0,66.0,1.1,3.44,2.34,1.092,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,11.0,11.0,3.52,0.0,3.0,13.0,10.0,6.8,2.48,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,3.0,3.0,0.6,0.96,0.0,2.0,9.0,3.6,2.16,44.5125,35.4075,20.51216667,13.6886,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3.0,5.0,3.273268354
-3.729,0.0,14.447,5.007,5.763,6.005,8.349,90.0,90.0,90.0,4.856,8.0,69.0,8.0,17.0,87.0,70.0,63.0,28.8,87.0,15.9994,168.93421,152.93481,71.568012,66.6823344,15.9994,54.8,1818.0,1763.2,637.28,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,203.0,137.0,118.2,66.0,1.13,3.44,2.31,1.08,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,3.92,0.0,5.0,15.0,10.0,7.6,2.96,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,0.0,0.0,0.0,0.0,11.0,11.0,2.4,3.44,0.0,1.0,11.0,3.6,2.96,35.675,26.57,18.554,11.3388,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.721,0.0,13.073,4.487,5.596,5.811,8.04,90.0,90.0,90.0,5.422,8.0,59.0,8.0,11.0,87.0,76.0,57.8,35.04,87.0,15.9994,140.90765,124.90825,46.7723524,37.65411904,15.9994,54.8,1814.0,1759.2,636.48,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,203.0,137.0,114.2,66.0,1.13,3.44,2.31,1.0536,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,3.0,3.0,0.96,0.0,3.0,6.0,3.0,5.2,0.96,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,11.0,11.0,2.2,3.52,0.0,2.0,11.0,5.2,3.84,35.675,26.57,17.045,9.528,9.105,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.03e-06,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
-3.713,0.8,13.01,2.627,5.587,5.82,8.002,90.0,90.0,90.0,5.6,8.0,93.0,8.0,11.0,87.0,76.0,58.8,33.84,87.0,15.9994,237.0,221.0006,65.9908224,68.40367104,15.9994,54.8,1814.0,1759.2,579.08,54.8,3.0,6.24,16.0,2.0,7.0,5.0,3.4,1.68,2.0,66.0,190.0,124.0,111.6,66.0,1.36,3.44,2.08,0.9984,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.48,0.0,4.0,4.0,1.28,0.0,3.0,7.0,4.0,5.6,1.04,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,4.32,0.0,10.0,10.0,2.0,3.2,0.0,2.0,19.0,6.8,5.76,22.235,13.13,13.60075,5.3949,9.105,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.03e-06,0.0,12.0,194.0,182.0,58.4,55.68,12.0,3.0,5.0,3.273268354
-3.712,0.0,15.895,4.542,5.989,6.176,8.595,90.0,90.0,90.0,5.48,8.0,89.0,8.0,14.0,87.0,73.0,61.2,30.96,87.0,15.9994,227.0,211.0006,87.49964,85.800288,15.9994,54.8,1685.0,1630.2,634.48,54.8,3.0,6.24,16.0,2.0,7.0,5.0,3.8,2.16,2.0,66.0,215.0,149.0,121.0,66.0,1.1,3.44,2.34,1.0944,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,10.0,10.0,3.2,0.0,3.0,12.0,9.0,6.6,2.16,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,4.0,4.0,0.8,1.28,0.0,2.0,9.0,3.8,2.16,44.5125,35.4075,20.6135,13.8102,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3.0,5.0,3.273268354
-3.711,0.0,14.65,5.086,5.798,6.03,8.381,90.0,90.0,90.0,4.953,8.0,69.0,8.0,15.0,87.0,72.0,62.6,29.28,87.0,15.9994,168.93421,152.93481,71.409682,66.4923384,15.9994,54.8,1818.0,1763.2,610.68,54.8,3.0,6.24,16.0,2.0,6.0,4.0,3.6,1.92,2.0,66.0,204.0,138.0,118.4,66.0,1.12,3.44,2.32,1.0824,3.44,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,1.0,1.0,0.32,0.0,13.0,13.0,4.08,0.0,4.0,15.0,11.0,7.4,3.04,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.96,9.0,9.0,2.88,0.0,13.0,13.0,2.8,4.08,0.0,1.0,22.0,5.8,6.48,37.24,28.135,18.867,11.7144,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.36,12.0,3.0,5.0,3.273268354
