e_form,e_hull,vpa,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData maximum Column,MagpieData minimum Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData range NsValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData mode NdValence,MagpieData range NfValence,MagpieData maximum NValence,MagpieData range NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData mean NpUnfilled,MagpieData minimum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum GSbandgap,MagpieData range GSbandgap,MagpieData avg_dev GSmagmom,MagpieData mean SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state
-1.455,1.021,13.49,90.0,-1.468,8.0,71.0,28.6,8.0,41.0,87.0,74.4,174.9668,61.29096,15.9994,54.8,1936.0,1881.2,580.9488,16.0,2.0,1.68,2.0,47.76,66.0,2.17,2.656,0.0,4.0,4.0,4.0,10.0,2.2,0.0,14.0,17.0,0.0,0.0,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.0,2.4,2.0,15.135,7.236,0.0,0.0,0.000719072,84.8,12.0,0.0,0.0
-1.453,0.91,8.536,90.0,0.759,8.0,28.0,13.2,8.0,61.0,87.0,80.0,58.6934,13.147224,15.9994,54.8,1728.0,1673.2,793.296,16.0,2.0,0.72,2.0,24.72,66.0,1.54,2.826,0.0,4.0,4.0,4.0,8.0,1.6,0.0,0.0,10.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,2.4,0.64,2.0,11.615,3.53,0.0,0.773,0.190526304,97.6,12.0,-2.0,4.0
-1.452,0.831,17.914,90.0,-3.287,8.0,59.0,26.2,8.0,17.0,87.0,69.6,140.90765,53.116764,15.9994,54.8,1204.0,1149.2,405.2688,16.0,2.0,1.68,2.0,51.6,66.0,2.31,2.628,0.0,4.0,4.0,4.0,10.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,11.0,11.0,3.52,0.0,3.4,3.04,2.0,16.497,8.8704,0.0,0.0,0.0,84.8,12.0,-2.0,4.0
-1.451,0.677,12.925,90.0,-0.464,8.0,78.0,33.4,8.0,29.0,87.0,70.6,195.084,77.282532,15.9994,54.8,2041.4,1986.6,854.592,16.0,2.0,1.92,2.0,47.52,66.0,2.23,2.762,1.0,4.0,4.0,4.0,9.0,1.8,0.0,14.0,24.0,1.0,0.32,0.0,2.0,1.2,0.0,1.0,0.2,5.0,5.0,1.6,0.0,2.6,0.96,2.0,14.81433333,6.8512,0.0,0.0,0.0,91.0,12.0,-2.0,4.0
-1.45,1.373,14.675,90.0,-4.947,8.0,69.0,23.8,8.0,37.0,87.0,70.6,168.93421,46.2672984,15.9994,54.8,1818.0,1763.2,844.656,16.0,2.0,1.44,2.0,45.6,66.0,2.19,2.68,0.0,4.0,4.0,4.0,6.0,1.2,0.0,13.0,15.0,0.0,0.0,0.0,2.0,1.2,0.0,4.0,0.8,1.0,1.0,0.32,0.0,2.2,0.72,2.0,13.565,6.486,0.0,0.0,0.675412096,91.8,12.0,-2.0,3.0
-1.45,0.258,16.181,61.2,-11.566,8.0,78.0,28.0,8.0,8.0,87.0,66.4,195.084,60.169248,15.9994,54.8,2041.4,1986.6,715.632,16.0,2.0,1.68,2.0,47.76,66.0,2.49,2.71,1.0,4.0,4.0,4.0,9.0,1.8,0.0,14.0,24.0,1.0,0.32,0.0,2.0,1.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.6,0.64,2.0,19.313,13.9668,0.0,0.0,0.0,97.2,12.0,-2.0,4.0
-1.449,1.089,15.091,90.0,0.344,8.0,93.0,32.4,8.0,22.0,87.0,68.4,237.0,73.897608,15.9994,54.8,2237.0,2182.2,730.656,16.0,2.0,1.92,2.0,48.0,66.0,2.08,2.792,1.0,4.0,4.0,4.0,8.0,1.8,0.0,4.0,9.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,2.2,10.0,10.0,3.2,0.0,5.6,5.36,2.0,11.88175,3.3321,0.0,0.0,0.0,64.6,12.0,-2.0,3.0
-1.446,1.093,15.173,90.0,1.033,8.0,52.0,23.0,8.0,12.0,90.0,72.6,127.6,44.281692,15.9994,54.8,1799.0,1744.2,578.8944,16.0,2.0,1.44,2.0,47.04,66.0,2.22,2.728,0.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,16.0,0.0,0.0,0.0,2.0,1.6,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.4,2.24,2.0,18.88866667,11.7404,0.0,0.464,0.0,76.4,12.0,0.0,0.0
-1.445,0.293,14.447,90.0,-1.514,8.0,37.0,17.2,8.0,4.0,87.0,63.4,85.4678,26.0176908,15.9994,54.8,1519.0,1464.2,447.9312,16.0,2.0,1.2,2.0,54.48,66.0,2.62,2.538,1.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,7.0,1.0,0.32,0.0,2.0,1.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.4,1.04,2.0,25.70501724,26.0069931,0.0,0.0,9.92e-05,96.4,12.0,0.0,0.0
-1.444,1.699,15.673,90.0,-1.6,4.0,94.0,24.4,8.0,24.0,87.0,70.4,244.0,73.51916944,15.9994,54.8,1560.0,1505.2,567.216,16.0,2.0,1.6,2.0,36.32,66.0,2.16,2.634,0.0,4.0,4.0,4.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,8.0,8.0,2.56,0.0,2.8,2.08,2.0,10.657,2.9692,0.0,0.0,0.101761164,48.2,12.0,-2.0,4.0
-1.444,0.95,15.158,90.0,0.545,8.0,81.0,34.2,8.0,31.0,87.0,73.6,204.3833,80.37228,15.9994,54.8,1685.0,1630.2,516.576,16.0,2.0,1.92,2.0,49.2,66.0,2.22,2.632,0.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,27.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.0,4.0,4.0,1.28,0.0,3.0,1.2,2.0,17.093,9.5856,0.0,0.0,0.0,84.8,12.0,-2.0,3.0
-1.443,1.307,12.282,90.0,5.114,5.0,73.0,20.4,8.0,48.0,87.0,76.2,180.94788,53.1985856,15.9994,54.8,3290.0,3235.2,1326.816,16.0,2.0,1.28,2.0,31.84,66.0,1.94,2.772,0.0,4.0,4.0,4.0,3.0,0.6,0.0,14.0,19.0,0.0,0.0,0.0,5.0,2.2,0.0,7.0,1.4,0.0,0.0,0.0,0.0,3.6,1.92,2.0,10.5215,3.0394,0.0,1.524,0.0,86.2,12.0,-2.0,3.0
-1.442,0.107,12.61,60.7,3.706,8.0,82.0,29.8,8.0,53.0,87.0,79.0,207.2,65.568288,15.9994,54.8,2430.0,2375.2,716.3992,16.0,2.0,1.68,2.0,38.64,66.0,1.54,2.91,0.0,4.0,4.0,4.0,10.0,3.0,0.0,14.0,28.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.2,2.0,13.942,5.8044,0.0,0.0,0.0,91.0,12.0,-2.0,4.0
-1.441,1.064,12.005,90.0,-2.833,8.0,66.0,20.2,8.0,2.0,87.0,58.8,162.5,46.32096246,15.9994,54.8,1685.0,1630.2,496.3784,16.0,2.0,1.2,2.0,54.24,66.0,2.51,2.494,1.0,4.0,4.0,4.0,0.0,0.0,0.0,10.0,12.0,1.0,0.32,0.0,2.0,1.2,0.0,0.0,0.0,4.0,4.0,1.28,0.0,2.2,0.72,2.0,17.55966667,10.1456,0.0,0.0,0.0,91.8,12.0,0.0,0.0
-1.44,1.125,15.602,90.0,0.493,8.0,82.0,34.8,8.0,35.0,87.0,75.4,207.2,82.190448,15.9994,54.8,1770.0,1715.2,542.6424,16.0,2.0,1.92,2.0,48.72,66.0,2.2,2.778,0.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,28.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.64,0.0,2.4,0.64,2.0,17.202,9.7164,0.0,0.0,0.0,91.0,12.0,0.0,0.0
-1.439,1.729,16.16,90.0,0.396,8.0,92.0,37.8,8.0,20.0,87.0,65.8,238.02891,92.8747176,15.9994,54.8,3290.0,3235.2,1101.216,16.0,2.0,2.16,2.0,56.16,66.0,2.06,2.64,0.0,4.0,4.0,4.0,3.0,0.8,0.0,14.0,19.0,0.0,0.0,0.0,2.0,1.2,0.0,9.0,3.2,11.0,11.0,3.52,0.0,6.6,5.52,2.0,13.092,4.7844,0.0,0.0,0.0,65.6,12.0,-2.0,3.0
-1.439,0.245,10.38,63.5,3.253,8.0,75.0,25.8,8.0,54.0,87.0,76.8,186.207,52.701168,15.9994,54.8,3459.0,3404.2,1038.3136,16.0,2.0,1.44,2.0,33.84,66.0,1.79,2.774,0.0,4.0,4.0,4.0,10.0,3.0,0.0,14.0,21.0,0.0,0.0,0.0,2.0,1.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.2,1.12,2.0,11.186,2.4972,0.0,0.0,0.0,84.8,12.0,-2.0,4.0
-1.439,0.8,16.508,90.0,1.936,8.0,91.0,31.8,8.0,18.0,87.0,67.0,231.03586,72.0256944,15.9994,54.8,2607.0,2552.2,1042.176,16.0,2.0,1.92,2.0,51.36,66.0,1.94,2.804,1.0,4.0,4.0,4.0,7.0,1.6,0.0,2.0,8.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,2.4,12.0,12.0,3.84,0.0,6.2,5.92,2.0,13.201,4.9152,0.0,0.0,0.0,73.8,12.0,-2.0,3.0
-1.438,0.928,10.615,90.0,-2.324,8.0,31.0,15.6,8.0,46.0,87.0,76.2,69.723,21.279768,15.9994,54.8,2183.0,2128.2,661.1752,16.0,2.0,0.96,2.0,34.32,66.0,1.81,2.752,0.0,4.0,4.0,4.0,10.0,2.6,0.0,0.0,13.0,0.0,0.0,0.0,5.0,2.2,0.0,7.0,1.4,0.0,0.0,0.0,0.0,3.6,1.92,2.0,11.8365,3.2778,0.0,0.0,0.0,65.8,12.0,-2.0,3.0
-1.437,1.251,16.998,90.0,-3.723,8.0,61.0,23.4,8.0,21.0,87.0,72.2,145.0,44.553888,15.9994,54.8,1373.0,1318.2,593.952,16.0,2.0,1.44,2.0,44.88,66.0,2.285,2.697,0.0,4.0,4.0,4.0,10.0,2.0,0.0,5.0,14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,9.0,9.0,2.88,0.0,3.8,2.16,2.0,16.8325,9.273,0.0,0.383,0.0,91.0,12.0,-2.0,3.0
-1.436,1.128,15.857,90.0,-4.032,8.0,39.0,18.6,8.0,12.0,87.0,68.4,88.90585,29.348892,15.9994,54.8,1799.0,1744.2,571.6992,16.0,2.0,1.2,2.0,43.2,66.0,2.22,2.638,0.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,12.0,0.0,0.0,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.0,2.4,2.0,14.728,7.0548,0.0,0.0,0.0,84.8,12.0,0.0,0.0
-1.435,1.971,15.194,90.0,-5.408,8.0,68.0,21.2,8.0,35.0,87.0,74.8,167.259,47.436184,15.9994,54.8,1770.0,1715.2,803.376,16.0,2.0,1.2,2.0,40.32,66.0,2.2,2.692,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.64,0.0,2.4,0.64,2.0,15.668,7.8756,0.0,0.773,0.0,91.4,12.0,0.0,0.0
-1.435,1.056,12.107,90.0,-2.758,8.0,39.0,14.8,8.0,2.0,87.0,55.0,88.90585,22.77083446,15.9994,54.8,1799.0,1744.2,532.8584,16.0,2.0,0.96,2.0,53.76,66.0,2.51,2.494,1.0,4.0,4.0,4.0,1.0,0.2,0.0,0.0,6.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.2,2.32,2.0,17.78466667,10.4156,0.0,0.0,0.0,91.8,12.0,0.0,0.0
-1.433,0.817,10.438,90.0,-1.205,8.0,25.0,14.6,8.0,49.0,87.0,72.4,54.938045,17.9844828,15.9994,54.8,2180.0,2125.2,861.456,16.0,2.0,0.96,2.0,35.04,66.0,1.89,2.706,1.0,4.0,4.0,4.0,5.0,2.0,0.0,0.0,7.0,1.0,0.32,0.0,2.0,1.2,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.4,1.68,2.0,9.798517241,0.83222069,0.0,0.0,9.92e-05,96.4,12.0,-2.0,4.0
-1.432,0.173,18.95,90.0,-12.328,8.0,78.0,31.6,8.0,9.0,87.0,66.6,195.084,72.098928,15.9994,54.8,2041.4,1986.6,703.632,16.0,2.0,1.92,2.0,52.56,66.0,2.55,2.698,1.0,4.0,4.0,4.0,9.0,1.8,0.0,14.0,24.0,1.0,0.32,0.0,2.0,1.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.6,0.64,2.0,21.185,16.962,0.0,0.0,0.0,98.0,12.0,-2.0,4.0
-1.432,0.547,13.919,90.0,-0.196,8.0,79.0,32.8,8.0,21.0,87.0,69.6,196.966569,74.39226456,15.9994,54.8,1373.0,1318.2,624.1752,16.0,2.0,1.92,2.0,48.72,66.0,2.285,2.803,1.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,25.0,1.0,0.32,0.0,2.0,1.2,0.0,0.0,0.0,9.0,9.0,2.88,0.0,3.2,2.32,2.0,15.5715,7.7598,0.0,0.0,0.0,91.0,12.0,-2.0,3.0
-1.432,0.605,12.953,90.0,-0.565,8.0,66.0,27.4,8.0,31.0,87.0,71.4,162.5,57.208656,15.9994,54.8,1685.0,1630.2,674.4792,16.0,2.0,1.68,2.0,49.2,66.0,2.22,2.694,1.0,4.0,4.0,4.0,10.0,2.0,0.0,10.0,12.0,1.0,0.32,0.0,2.0,1.2,0.0,0.0,0.0,4.0,4.0,1.28,0.0,2.2,0.72,2.0,14.977,7.0464,0.0,0.0,0.0,91.0,12.0,-2.0,3.0
-1.431,1.161,14.777,90.0,-3.057,8.0,69.0,24.0,8.0,37.0,87.0,71.2,168.93421,47.0084652,15.9994,54.8,1818.0,1763.2,834.336,16.0,2.0,1.44,2.0,44.16,66.0,2.19,2.69,0.0,4.0,4.0,4.0,7.0,1.4,0.0,13.0,15.0,0.0,0.0,0.0,2.0,1.2,0.0,3.0,0.6,1.0,1.0,0.32,0.0,2.0,0.4,2.0,13.468,6.5248,0.0,0.0,0.495510784,84.8,12.0,-2.0,3.0
-1.431,0.66,10.822,90.0,1.067,8.0,32.0,16.0,8.0,49.0,87.0,77.8,72.64,22.232952,15.9994,54.8,2180.0,2125.2,787.632,16.0,2.0,0.96,2.0,30.48,66.0,1.78,2.798,1.0,4.0,4.0,4.0,10.0,3.0,0.0,0.0,14.0,1.0,0.32,0.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.2,1.44,2.0,12.302,4.2812,0.0,0.383,0.0,98.0,12.0,-2.0,4.0
-1.431,0.806,13.325,90.0,-3.057,8.0,29.0,14.8,8.0,11.0,87.0,67.2,63.546,18.36074688,15.9994,54.8,1814.0,1759.2,734.9208,16.0,2.0,0.96,2.0,40.8,66.0,2.08,2.716,1.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,11.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.2,2.32,2.0,12.124,4.0444,0.0,0.0,2.03e-06,91.0,12.0,-2.0,3.0
-1.43,0.656,16.545,90.0,-3.068,8.0,80.0,28.6,8.0,12.0,87.0,68.8,200.59,61.799292,15.9994,54.8,1799.0,1744.2,543.7824,16.0,2.0,1.68,2.0,45.6,66.0,2.22,2.708,0.0,4.0,4.0,4.0,10.0,2.2,0.0,14.0,26.0,0.0,0.0,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.0,2.4,2.0,16.98351724,9.45422069,0.0,0.0,0.0,79.2,12.0,0.0,0.0
-1.43,0.587,13.023,90.0,-0.506,8.0,47.0,22.0,8.0,12.0,87.0,67.6,107.8682,39.54606,15.9994,54.8,1799.0,1744.2,701.8392,16.0,2.0,1.44,2.0,48.72,66.0,2.22,2.694,1.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,11.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.2,2.32,2.0,15.202,7.3164,0.0,0.0,0.0,91.0,12.0,-2.0,3.0
-1.43,0.393,12.721,90.0,-9.669,8.0,48.0,22.8,8.0,50.0,87.0,76.2,112.411,42.329328,15.9994,54.8,2896.0,2841.2,866.0304,16.0,2.0,1.44,2.0,39.84,66.0,1.75,2.834,1.0,4.0,4.0,4.0,10.0,3.0,0.0,0.0,12.0,1.0,0.32,0.0,2.0,1.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.4,1.44,2.0,12.5,4.074,0.0,0.0,0.0,91.8,12.0,-2.0,4.0
-1.43,1.401,17.751,90.0,-3.535,8.0,57.0,22.6,8.0,13.0,87.0,70.6,138.90547,43.0912008,15.9994,54.8,1211.4,1156.6,550.752,16.0,2.0,1.44,2.0,46.8,66.0,2.34,2.686,0.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,14.0,0.0,0.0,0.0,4.0,2.0,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.8,2.16,2.0,17.4435,10.0062,0.0,0.383,0.0,91.0,12.0,-2.0,3.0
-1.429,1.171,10.453,90.0,-0.463,8.0,26.0,14.4,8.0,43.0,87.0,71.8,55.845,17.211168,15.9994,54.8,1941.0,1886.2,874.176,16.0,2.0,0.96,2.0,38.4,66.0,1.9,2.738,0.0,4.0,4.0,4.0,6.0,1.6,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.2,0.0,8.0,2.4,0.0,0.0,0.0,0.0,3.6,1.92,2.0,10.947,2.2972,0.0,0.0,0.675410293,91.8,12.0,-2.0,4.0
-1.428,1.275,16.531,90.0,0.344,8.0,83.0,35.2,8.0,37.0,87.0,76.8,208.9804,83.0197944,15.9994,54.8,1818.0,1763.2,540.672,16.0,2.0,1.92,2.0,49.44,66.0,2.19,2.718,0.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,29.0,0.0,0.0,0.0,3.0,1.8,0.0,0.0,0.0,1.0,1.0,0.32,0.0,2.0,0.4,2.0,18.009,10.6848,0.0,0.0,0.0,48.4,12.0,-2.0,3.0
-1.426,1.767,15.942,90.0,-7.275,8.0,64.0,25.8,8.0,27.0,87.0,67.0,157.25,52.3578192,15.9994,54.8,2750.0,2695.2,1014.336,16.0,2.0,1.68,2.0,54.72,66.0,2.24,2.624,1.0,4.0,4.0,4.0,4.0,1.0,0.0,7.0,10.0,1.0,0.32,0.0,2.0,1.2,0.0,9.0,3.0,7.0,7.0,2.24,0.0,5.8,4.56,2.0,15.509,7.6848,0.0,0.0,0.0,91.8,12.0,-2.0,3.0
-1.426,0.051,11.424,90.0,-0.182,8.0,81.0,26.0,8.0,52.0,87.0,77.8,204.3833,57.1677564,15.9994,54.8,1519.0,1464.2,476.736,16.0,2.0,1.44,2.0,36.48,66.0,1.89,2.698,0.0,4.0,4.0,4.0,10.0,3.0,0.0,14.0,27.0,0.0,0.0,0.0,5.0,2.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.2,1.44,2.0,12.94251724,5.586993103,0.0,0.0,9.92e-05,89.4,12.0,-2.0,3.0
-1.424,0.577,19.375,90.0,-0.967,8.0,63.0,28.4,8.0,5.0,87.0,58.2,151.964,60.68895646,15.9994,54.8,1095.0,1040.2,313.1208,16.0,2.0,1.92,2.0,74.4,66.0,2.65,2.459,1.0,4.0,4.0,4.0,0.0,0.0,0.0,7.0,9.0,1.0,0.32,0.0,2.0,1.2,0.0,0.0,0.0,7.0,7.0,2.24,0.0,2.8,1.68,2.0,35.908,32.1636,0.0,0.0,0.0,98.8,12.0,0.0,0.0
