formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,gap pbe,a,alpha,beta
PtBaO3,Pt,Ba,orthorhombic,-1.432,0.173,0,0.88,6.334,90,90
PmAuO3,Pm,Au,cubic,-1.432,0.547,0,0,4.113,90,90
DyAgO3,Dy,Ag,cubic,-1.432,0.605,0,0,4.016,90,90
CoTmO3,Co,Tm,cubic,-1.431,1.161,0.8,0,4.196,90,90
GeCrO3,Ge,Cr,cubic,-1.431,0.66,0.4,0,3.782,90,90
CuScO3,Cu,Sc,cubic,-1.431,0.806,0.339,0,4.054,90,90
HgYO3,Hg,Y,cubic,-1.43,0.656,0.236,0,4.357,90,90
YAgO3,Y,Ag,cubic,-1.43,0.587,0,0,4.023,90,90
MoCdO3,Mo,Cd,orthorhombic,-1.43,0.393,0.4,0,5.578,90,90
GeLaO3,Ge,La,cubic,-1.43,1.401,0.2,0,4.461,90,90
TiFeO3,Ti,Fe,cubic,-1.429,1.171,1.199,0,3.739,90,90
TmBiO3,Tm,Bi,cubic,-1.428,1.275,0,0,4.356,90,90
NbGdO3,Nb,Gd,cubic,-1.426,1.767,0.401,0,4.304,90,90
TlMnO3,Tl,Mn,orthorhombic,-1.426,0.051,0.797,0,5.341,90,90
CsEuO3,Cs,Eu,cubic,-1.424,0.577,0.6,0,4.593,90,90
AsTmO3,As,Tm,cubic,-1.424,1.265,0.01,0,4.213,90,90
PtZrO3,Pt,Zr,cubic,-1.423,0.994,0.402,0,4.121,90,90
DyTeO3,Dy,Te,cubic,-1.422,1.134,0.003,0,4.23,90,90
ThAuO3,Th,Au,cubic,-1.421,1.215,0,0,4.16,90,90
RbEuO3,Rb,Eu,cubic,-1.421,0.574,0.6,0,4.553,90,90
TeGdO3,Te,Gd,cubic,-1.42,1.126,0.005,0,4.375,90,90
AgTmO3,Ag,Tm,cubic,-1.419,0.66,0,0,4.281,90,90
LuPtO3,Lu,Pt,cubic,-1.418,0.911,0,0,3.995,90,90
TbBiO3,Tb,Bi,cubic,-1.418,1.099,0,0,4.365,90,90
HoNaO3,Ho,Na,cubic,-1.417,1.1,0.399,0,3.91,90,90
NaRuO3,Na,Ru,orthorhombic,-1.416,0.045,0.216,0,5.288,90,90
ReHfO3,Re,Hf,cubic,-1.415,1.401,1,0,4.076,90,90
WAgO3,W,Ag,orthorhombic,-1.414,0.543,0,0.532,5.252,90,90
BiWO3,Bi,W,cubic,-1.414,0.543,0,0,4.019,90,90
PtThO3,Pt,Th,cubic,-1.411,1.368,0.406,0,4.51,90,90
KEuO3,K,Eu,cubic,-1.411,0.596,0.6,0,4.52,90,90
PdWO3,Pd,W,cubic,-1.411,0.546,-0.062,0,3.895,90,90
VMgO3,V,Mg,cubic,-1.41,1.328,0.201,0,3.752,90,90
MoLuO3,Mo,Lu,cubic,-1.41,1.541,0.6,0,4.153,90,90
WAlO3,W,Al,cubic,-1.41,1.21,0.576,0,3.646,90,90
TcScO3,Tc,Sc,cubic,-1.409,1.26,0.799,0,4,90,90
HoAgO3,Ho,Ag,cubic,-1.406,0.644,0,0,4.012,90,90
ZnGdO3,Zn,Gd,cubic,-1.406,1.15,-0.225,0,4.324,90,90
SiHoO3,Si,Ho,cubic,-1.406,1.962,0.2,0,4.249,90,90
NpHgO3,Np,Hg,cubic,-1.405,1.003,0.797,0,4.216,90,90
MnGaO3,Mn,Ga,cubic,-1.405,0.654,0.8,0,3.796,90,90
SnTcO3,Sn,Tc,orthorhombic,-1.404,0.278,0.352,0,5.541,90,90
ScOsO3,Sc,Os,cubic,-1.404,1.022,0.128,0,3.892,90,90
Ta2O3,Ta,Ta,cubic,-1.403,1.226,0.614,0,3.987,90,90
HgMoO3,Hg,Mo,cubic,-1.403,0.327,0,0,3.961,90,90
HgGdO3,Hg,Gd,cubic,-1.402,0.677,0.247,0,4.373,90,90
CrTlO3,Cr,Tl,orthorhombic,-1.402,0.307,0.6,0.634,5.379,90,90
CdCeO3,Cd,Ce,cubic,-1.4,0.855,0.215,0,4.51,90,90
TaErO3,Ta,Er,cubic,-1.398,1.944,0.399,0,4.188,90,90
CdTcO3,Cd,Tc,orthorhombic,-1.397,0.118,0.418,0,5.421,90,90
TcNbO3,Tc,Nb,cubic,-1.396,0.841,0.875,0,4.01,90,90
HoTeO3,Ho,Te,cubic,-1.395,1.171,0.003,0,4.23,90,90
PrHgO3,Pr,Hg,cubic,-1.395,0.575,0,0,4.219,90,90
SbPrO3,Sb,Pr,cubic,-1.394,1.262,0.06,0,4.508,90,90
GaReO3,Ga,Re,cubic,-1.394,0.425,0,0,3.909,90,90
GaCrO3,Ga,Cr,cubic,-1.394,0.897,0.433,0,3.763,90,90
ErNaO3,Er,Na,cubic,-1.392,1.151,0.4,0,3.902,90,90
MoNbO3,Mo,Nb,cubic,-1.392,0.914,0.875,0,4.018,90,90
TbPbO3,Tb,Pb,cubic,-1.39,1.007,0,0,4.257,90,90
CoErO3,Co,Er,cubic,-1.387,1.189,0.798,0,4.209,90,90
AgErO3,Ag,Er,cubic,-1.386,0.675,-0.023,0,4.303,90,90
IrHfO3,Ir,Hf,cubic,-1.384,1.238,0.607,0,4.055,90,90
MoBeO3,Mo,Be,cubic,-1.384,1.096,0.349,0,3.41,90,90
ErTlO3,Er,Tl,cubic,-1.384,1.033,0,0,4.226,90,90
GeNdO3,Ge,Nd,cubic,-1.383,1.334,0.2,0,4.425,90,90
MnTlO3,Mn,Tl,rhombohedral,-1.381,0.096,0.8,0,6.043,55.2,30
LuBiO3,Lu,Bi,cubic,-1.379,1.339,0,0,4.357,90,90
ErAgO3,Er,Ag,cubic,-1.379,0.682,0,0,4.006,90,90
LiIrO3,Li,Ir,rhombohedral,-1.378,-0.058,0,0,5.198,59.2,59.2
BPaO3,B,Pa,cubic,-1.378,1.368,0,1.515,4.344,90,90
AsErO3,As,Er,cubic,-1.376,1.295,0.014,0,4.241,90,90
UAuO3,U,Au,cubic,-1.376,1.129,0.588,0,4.136,90,90
CrSnO3,Cr,Sn,cubic,-1.374,0.76,0.8,0,4.01,90,90
ErTeO3,Er,Te,cubic,-1.368,1.205,0.004,0,4.229,90,90
MoAgO3,Mo,Ag,orthorhombic,-1.368,0.362,0.002,0,5.563,90,90
TcSiO3,Tc,Si,cubic,-1.367,0.987,1,0,3.619,90,90
MoNpO3,Mo,Np,cubic,-1.366,1.506,-0.446,0,4.346,90,90
ThTeO3,Th,Te,cubic,-1.365,1.578,0.005,0,4.288,90,90
InReO3,In,Re,cubic,-1.363,0.328,0,0,3.961,90,90
MoSiO3,Mo,Si,cubic,-1.363,1.128,0.796,0,3.606,90,90
KRuO3,K,Ru,orthorhombic,-1.363,0.089,0,0,5.516,90,90
AgHoO3,Ag,Ho,cubic,-1.362,0.688,0.03,0,4.308,90,90
NdHgO3,Nd,Hg,cubic,-1.361,0.694,-0.001,0,4.212,90,90
RbOsO3,Rb,Os,cubic,-1.359,0.107,0,0,3.948,90,90
PbFeO3,Pb,Fe,orthorhombic,-1.359,0.083,0.871,0,5.42,90,90
AlMnO3,Al,Mn,cubic,-1.359,1.282,0.69,0,3.735,90,90
LuPbO3,Lu,Pb,cubic,-1.358,1.239,0,0,4.268,90,90
AuVO3,Au,V,orthorhombic,-1.358,0.274,0.227,0,5.524,90,90
SiDyO3,Si,Dy,cubic,-1.358,1.95,0.002,0,4.269,90,90
TcNpO3,Tc,Np,cubic,-1.357,1.38,1.47,0,4.338,90,90
AuWO3,Au,W,cubic,-1.355,0.602,0,0,3.928,90,90
CrSbO3,Cr,Sb,cubic,-1.354,0.677,0.947,0,3.986,90,90
LiFeO3,Li,Fe,orthorhombic,-1.354,0.196,0.6,0,4.869,90,90
PtTiO3,Pt,Ti,cubic,-1.353,0.83,0.4,0,3.859,90,90
NbTbO3,Nb,Tb,cubic,-1.352,1.721,0.401,0,4.276,90,90
TmAgO3,Tm,Ag,cubic,-1.351,0.728,0,0,4.006,90,90
HfGeO3,Hf,Ge,cubic,-1.351,1.527,0.183,0,3.818,90,90
IrUO3,Ir,U,cubic,-1.349,1.262,0.701,0,4.298,90,90
MnMgO3,Mn,Mg,cubic,-1.349,0.947,0.6,0,3.818,90,90
GdAuO3,Gd,Au,cubic,-1.348,0.727,0,0,4.098,90,90
TaVO3,Ta,V,cubic,-1.347,1.388,0.773,0,3.805,90,90
SnReO3,Sn,Re,orthorhombic,-1.345,0.34,0,0,5.52,90,90
TlTcO3,Tl,Tc,cubic,-1.345,0.118,-0.001,0,3.964,90,90
CdReO3,Cd,Re,rhombohedral,-1.343,0.178,0.008,0,5.281,64.3,64.3
TiCoO3,Ti,Co,cubic,-1.343,1.145,-0.141,0,3.597,90,90
BeScO3,Be,Sc,cubic,-1.343,1.747,0,0,3.981,90,90
BeVO3,Be,V,cubic,-1.342,1.347,0,0,3.706,90,90
AsHoO3,As,Ho,cubic,-1.34,1.356,0.016,0,4.261,90,90
TmTeO3,Tm,Te,cubic,-1.339,1.249,0.003,0,4.226,90,90
PaRuO3,Pa,Ru,cubic,-1.338,0.901,0.239,0,3.94,90,90
MoInO3,Mo,In,rhombohedral,-1.338,0.57,0.582,0,5.705,59.8,59.8
SiYO3,Si,Y,cubic,-1.338,2.022,0.21,0,4.287,90,90
RuAlO3,Ru,Al,cubic,-1.337,0.865,0.966,0,3.673,90,90
GePrO3,Ge,Pr,cubic,-1.336,1.302,0.2,0,4.454,90,90
CuLuO3,Cu,Lu,cubic,-1.336,0.991,-0.005,0,4.219,90,90
ZnCrO3,Zn,Cr,cubic,-1.335,0.618,0.398,0,3.733,90,90
FeDyO3,Fe,Dy,cubic,-1.335,1.448,1.001,0,4.263,90,90
MoTmO3,Mo,Tm,cubic,-1.335,1.601,0.599,0,4.196,90,90
TbNaO3,Tb,Na,cubic,-1.334,1.035,0.399,0,3.923,90,90
AgDyO3,Ag,Dy,cubic,-1.334,0.704,0,0,4.329,90,90
ReTlO3,Re,Tl,rhombohedral,-1.333,0.266,0,0,6.023,70.1,70.1
ReTlO3,Re,Tl,rhombohedral,-1.333,0.266,0,0,6.023,70.1,70.1
TeTbO3,Te,Tb,cubic,-1.332,1.084,0.001,0,4.352,90,90
FeErO3,Fe,Er,cubic,-1.331,1.464,0.818,0,4.12,90,90
ThHgO3,Th,Hg,cubic,-1.331,1.393,0,0,4.248,90,90
RuRbO3,Ru,Rb,orthorhombic,-1.33,0.124,0.129,0,5.145,90,90
PmHgO3,Pm,Hg,cubic,-1.328,0.692,0,0,4.203,90,90
TbAgO3,Tb,Ag,cubic,-1.327,0.566,0,0,4.019,90,90
TiTcO3,Ti,Tc,cubic,-1.327,1.129,0.435,0,3.866,90,90
SbCeO3,Sb,Ce,cubic,-1.326,1.224,-0.092,0,4.552,90,90
CuReO3,Cu,Re,rhombohedral,-1.324,0.196,0,0,5.38,57.4,57.4
RhSiO3,Rh,Si,cubic,-1.323,0.833,0.598,0,3.569,90,90
PdMoO3,Pd,Mo,orthorhombic,-1.322,0.408,-0.055,0,5.258,90,90
TeVO3,Te,V,cubic,-1.322,0.579,-0.356,0,3.897,90,90
PdLuO3,Pd,Lu,cubic,-1.321,0.92,0.59,0,4.206,90,90
HgLaO3,Hg,La,cubic,-1.32,0.718,0,0,4.459,90,90
RhAlO3,Rh,Al,cubic,-1.32,0.779,0.618,0,3.653,90,90
HgSmO3,Hg,Sm,cubic,-1.32,0.712,0.251,0,4.416,90,90
RhAlO3,Rh,Al,cubic,-1.32,0.779,0.618,0,3.653,90,90
TbTeO3,Tb,Te,cubic,-1.32,1.096,0.002,0,4.234,90,90
RuNbO3,Ru,Nb,cubic,-1.319,0.853,0.613,0,3.993,90,90
CrGaO3,Cr,Ga,cubic,-1.319,0.972,0.6,0,3.788,90,90
SbWO3,Sb,W,cubic,-1.317,0.64,-0.002,0,3.997,90,90
TeSmO3,Te,Sm,cubic,-1.313,1.184,0.074,0,4.434,90,90
LuNaO3,Lu,Na,cubic,-1.312,1.248,0.4,0,3.885,90,90
ZrReO3,Zr,Re,cubic,-1.308,1.385,0.209,0,3.912,90,90
ZnTbO3,Zn,Tb,cubic,-1.307,1.133,-0.215,0,4.296,90,90
BiTcO3,Bi,Tc,orthorhombic,-1.303,0.209,0.4,0,5.427,90,90
TcLuO3,Tc,Lu,cubic,-1.302,1.444,0.798,0,4.181,90,90
MnSbO3,Mn,Sb,cubic,-1.301,0.554,1.055,0,4.063,90,90
AuEuO3,Au,Eu,orthorhombic,-1.299,0.288,0,0,5.922,90,90
NaFeO3,Na,Fe,cubic,-1.299,0.183,0.896,0,3.739,90,90
FeHoO3,Fe,Ho,cubic,-1.299,1.49,1.001,0,4.491,90,90
SmHgO3,Sm,Hg,cubic,-1.299,0.733,-0.001,0,4.201,90,90
SiWO3,Si,W,cubic,-1.299,1.198,0.001,0,3.928,90,90
HgTbO3,Hg,Tb,cubic,-1.299,0.663,0.237,0,4.351,90,90
InRuO3,In,Ru,orthorhombic,-1.298,0.193,0.2,0,5.337,90,90
HgCrO3,Hg,Cr,orthorhombic,-1.298,0.153,0.4,0,5.426,90,90
LuAgO3,Lu,Ag,cubic,-1.295,0.798,0,0,3.998,90,90
PaRhO3,Pa,Rh,cubic,-1.295,0.876,0.295,0,3.961,90,90
TaDyO3,Ta,Dy,cubic,-1.295,2.033,0.399,0,4.236,90,90
CuTcO3,Cu,Tc,rhombohedral,-1.295,0.056,0,0,5.382,56.9,56.9
LuTeO3,Lu,Te,cubic,-1.294,1.305,0.001,0,4.226,90,90
PtNbO3,Pt,Nb,cubic,-1.294,0.807,0.207,0,3.992,90,90
YAuO3,Y,Au,cubic,-1.294,0.751,0,0,4.099,90,90
PaReO3,Pa,Re,cubic,-1.293,1.078,0.284,0,3.975,90,90
HgAcO3,Hg,Ac,cubic,-1.292,0.68,0,0,4.568,90,90
SbMoO3,Sb,Mo,cubic,-1.292,0.527,0,0,3.989,90,90
DyAuO3,Dy,Au,cubic,-1.292,0.774,0,0,4.091,90,90
ScPdO3,Sc,Pd,cubic,-1.291,0.872,0,0,3.911,90,90
TaSiO3,Ta,Si,cubic,-1.291,1.487,0.518,0,3.612,90,90
SiGdO3,Si,Gd,cubic,-1.291,2.056,0.01,0,4.306,90,90
MgRuO3,Mg,Ru,cubic,-1.29,0.648,0.395,0,3.873,90,90
PdScO3,Pd,Sc,cubic,-1.289,0.874,-0.005,0,4.022,90,90
MnCdO3,Mn,Cd,orthorhombic,-1.287,0.328,0.6,0,5.332,90,90
NbMnO3,Nb,Mn,cubic,-1.285,1.223,1.196,0,3.794,90,90
TcTlO3,Tc,Tl,orthorhombic,-1.284,0.179,0.22,0,5.492,90,90
CdFeO3,Cd,Fe,orthorhombic,-1.283,0.077,0.799,0,5.272,90,90
ZrRuO3,Zr,Ru,cubic,-1.281,1.279,0,0,3.874,90,90
AgGdO3,Ag,Gd,cubic,-1.281,0.728,0,0,4.373,90,90
BeWO3,Be,W,cubic,-1.28,1.213,-0.017,0,3.882,90,90
NbSmO3,Nb,Sm,cubic,-1.28,1.877,0.399,0,4.369,90,90
MoErO3,Mo,Er,cubic,-1.279,1.639,0.599,0,4.224,90,90
HgPmO3,Hg,Pm,cubic,-1.277,0.743,-0.024,0,4.432,90,90
PaAsO3,Pa,As,cubic,-1.277,1.065,0.418,0,4.053,90,90
OsLiO3,Os,Li,orthorhombic,-1.276,0.299,0.052,0,5.131,90,90
AsYO3,As,Y,cubic,-1.275,1.387,0.015,0,4.289,90,90
MnBO3,Mn,B,cubic,-1.274,1.047,0.8,0,3.362,90,90
ReUO3,Re,U,cubic,-1.274,1.53,0.928,0,4.354,90,90
ReUO3,Re,U,cubic,-1.274,1.53,0.928,0,4.354,90,90
TiReO3,Ti,Re,cubic,-1.272,1.186,0.429,0,3.885,90,90
WZrO3,W,Zr,cubic,-1.272,1.561,0.8,0,4.117,90,90
TaYO3,Ta,Y,cubic,-1.271,2.034,0.398,0,4.236,90,90
CrBO3,Cr,B,cubic,-1.27,1.319,0.6,0,3.335,90,90
PdTmO3,Pd,Tm,cubic,-1.27,0.956,0.602,0,4.247,90,90
WTiO3,W,Ti,cubic,-1.268,1.33,0.719,0,3.856,90,90
PdVO3,Pd,V,cubic,-1.267,0.495,0.203,0,3.767,90,90
NaIrO3,Na,Ir,orthorhombic,-1.266,0.066,0.013,0,5.267,90,90
VTcO3,V,Tc,cubic,-1.265,0.816,0.668,0,3.869,90,90
RbRuO3,Rb,Ru,cubic,-1.265,0.189,0.004,0,3.951,90,90
HoAuO3,Ho,Au,cubic,-1.264,0.814,0,0,4.088,90,90
TeCrO3,Te,Cr,cubic,-1.264,0.561,0.58,0,3.872,90,90
RuLiO3,Ru,Li,orthorhombic,-1.264,0.231,0.039,0,5.092,90,90
HfTcO3,Hf,Tc,cubic,-1.263,1.551,0.204,0,3.885,90,90
NbBO3,Nb,B,cubic,-1.261,1.312,0.281,0,3.4,90,90
BeLuO3,Be,Lu,cubic,-1.259,1.908,0.203,0,4.15,90,90
BHfO3,B,Hf,cubic,-1.258,1.936,0.002,0,4.079,90,90
RuSiO3,Ru,Si,cubic,-1.257,0.967,0.8,0,3.583,90,90
TaNbO3,Ta,Nb,cubic,-1.255,1.367,0.588,0,4.006,90,90
RuNpO3,Ru,Np,cubic,-1.255,1.352,1.293,0,4.571,90,90
VReO3,V,Re,cubic,-1.253,0.831,0.671,0,3.891,90,90
LiRhO3,Li,Rh,orthorhombic,-1.253,0.051,0.135,0,4.97,90,90
KFeO3,K,Fe,tetragonal,-1.252,0.193,0.691,0,3.677,90,90
MoVO3,Mo,V,cubic,-1.249,1.036,1.001,0,3.8,90,90
TlFeO3,Tl,Fe,orthorhombic,-1.249,0.045,0.999,0,5.347,90,90
BiCoO3,Bi,Co,orthorhombic,-1.249,0.136,0,0.441,5.349,90,90
TaPaO3,Ta,Pa,cubic,-1.248,1.488,0.771,0,4.371,90,90
TeLaO3,Te,La,cubic,-1.246,1.292,0.127,0,4.526,90,90
AuScO3,Au,Sc,cubic,-1.244,0.8,0,0,4.057,90,90
AlReO3,Al,Re,cubic,-1.244,1.157,0,0,3.912,90,90
SiMoO3,Si,Mo,cubic,-1.243,1.248,0.001,0,3.922,90,90
AsVO3,As,V,cubic,-1.241,0.797,-0.004,0,3.805,90,90
HgEuO3,Hg,Eu,orthorhombic,-1.24,0.3,-0.032,0,6.05,90,90
HgNdO3,Hg,Nd,cubic,-1.239,0.817,0.005,0,4.475,90,90
ScBiO3,Sc,Bi,cubic,-1.237,1.404,0.159,0,4.312,90,90
TcTmO3,Tc,Tm,cubic,-1.237,1.494,0.91,0,4.219,90,90
ErAuO3,Er,Au,cubic,-1.236,0.853,0,0,4.085,90,90
GeMnO3,Ge,Mn,cubic,-1.236,0.789,0.6,0,3.76,90,90
MoHoO3,Mo,Ho,cubic,-1.236,1.67,0.598,0,4.247,90,90
GdHgO3,Gd,Hg,cubic,-1.236,0.842,0,0,4.191,90,90
WScO3,W,Sc,cubic,-1.236,1.647,0.599,0,3.96,90,90
ScTeO3,Sc,Te,cubic,-1.235,1.263,0.19,0,4.187,90,90
WUO3,W,U,cubic,-1.234,1.711,1.184,0,4.323,90,90
BiNiO3,Bi,Ni,orthorhombic,-1.233,0.035,0.394,0,5.33,90,90
AuTmO3,Au,Tm,cubic,-1.233,0.873,0.398,0,4.274,90,90
PdErO3,Pd,Er,cubic,-1.233,0.975,0.599,0,4.288,90,90
RhPuO3,Rh,Pu,cubic,-1.233,1.051,1.051,0,4.292,90,90
WBeO3,W,Be,cubic,-1.232,1.26,0.274,0,3.403,90,90
NbPmO3,Nb,Pm,cubic,-1.231,1.854,0.394,0,4.395,90,90
SiCrO3,Si,Cr,cubic,-1.231,1.486,0.4,0,3.759,90,90
AuMoO3,Au,Mo,rhombohedral,-1.228,0.503,0,0,5.616,57.5,57.5
ReZrO3,Re,Zr,cubic,-1.227,1.465,1,0,4.13,90,90
ReZrO3,Re,Zr,cubic,-1.227,1.465,1,0,4.13,90,90
SnRuO3,Sn,Ru,orthorhombic,-1.225,0.327,0.002,0,5.372,90,90
RePbO3,Re,Pb,rhombohedral,-1.223,0.333,0.2,0,5.768,68.1,68.1
AlTcO3,Al,Tc,cubic,-1.22,1.178,0.005,0,3.89,90,90
AsGdO3,As,Gd,cubic,-1.22,1.399,-0.001,0,4.332,90,90
AgReO3,Ag,Re,cubic,-1.22,0.301,0,0,3.889,90,90
RuPuO3,Ru,Pu,cubic,-1.218,1.168,1.476,0,4.3,90,90
TeNdO3,Te,Nd,cubic,-1.217,1.272,0,0,4.492,90,90
BThO3,B,Th,cubic,-1.216,2.234,-0.112,0,4.468,90,90
IrTaO3,Ir,Ta,cubic,-1.213,1.138,0.424,0,3.966,90,90
MgOsO3,Mg,Os,cubic,-1.213,0.662,0.21,0,3.888,90,90
AuLuO3,Au,Lu,cubic,-1.212,0.91,0.004,0,4.232,90,90
TiNiO3,Ti,Ni,cubic,-1.212,1.256,0.4,0,3.608,90,90
RbFeO3,Rb,Fe,tetragonal,-1.209,0.2,0.687,0,3.682,90,90
GaMnO3,Ga,Mn,cubic,-1.208,0.851,0.611,0,3.745,90,90
HgPrO3,Hg,Pr,cubic,-1.206,0.764,0.013,0,4.503,90,90
TcVO3,Tc,V,cubic,-1.206,0.874,1.192,0,3.817,90,90
TmAuO3,Tm,Au,cubic,-1.204,0.902,0,0,4.082,90,90
RuNaO3,Ru,Na,orthorhombic,-1.203,0.259,0.001,0,5.361,90,90
SiSmO3,Si,Sm,cubic,-1.203,2.031,0,0,4.356,90,90
PdHoO3,Pd,Ho,cubic,-1.203,0.994,0.6,0,4.308,90,90
ZrAsO3,Zr,As,cubic,-1.202,1.46,0.267,0,3.945,90,90
BeTmO3,Be,Tm,cubic,-1.202,1.95,0.204,0,4.181,90,90
ZrRhO3,Zr,Rh,cubic,-1.202,1.289,0.001,0,3.887,90,90
PtNpO3,Pt,Np,cubic,-1.201,1.262,0.19,0,4.55,90,90
RhLuO3,Rh,Lu,cubic,-1.197,1.251,0.8,0,4.188,90,90
RhLuO3,Rh,Lu,cubic,-1.197,1.251,0.8,0,4.188,90,90
PtPuO3,Pt,Pu,cubic,-1.197,0.996,0.388,0,4.283,90,90
AgPmO3,Ag,Pm,cubic,-1.194,0.757,-0.025,0,4.426,90,90
SiTbO3,Si,Tb,cubic,-1.193,1.97,0.009,0,4.286,90,90
IrZrO3,Ir,Zr,cubic,-1.191,1.308,0.608,0,4.111,90,90
MoDyO3,Mo,Dy,cubic,-1.191,1.704,0.599,0,4.27,90,90
BNbO3,B,Nb,cubic,-1.19,1.383,-0.001,1.744,3.968,90,90
TcErO3,Tc,Er,cubic,-1.19,1.524,1.005,0,4.228,90,90
TbAuO3,Tb,Au,cubic,-1.189,0.732,0,0,4.095,90,90
FeTbO3,Fe,Tb,cubic,-1.188,1.455,0.983,0,4.28,90,90
RuKO3,Ru,K,orthorhombic,-1.187,0.265,0.2,0.273,6.246,90,90
NbWO3,Nb,W,cubic,-1.186,1.123,0.609,0,3.938,90,90
BiRhO3,Bi,Rh,orthorhombic,-1.182,0.056,0,0.513,5.403,90,90
YHgO3,Y,Hg,cubic,-1.182,0.904,0,0,4.191,90,90
AsWO3,As,W,cubic,-1.18,0.776,0,0,3.935,90,90
SiLaO3,Si,La,cubic,-1.177,2.169,-0.149,0,4.452,90,90
DyHgO3,Dy,Hg,cubic,-1.177,0.93,0,0,4.185,90,90
AgTbO3,Ag,Tb,cubic,-1.177,0.716,-0.001,0,4.351,90,90
SiPmO3,Si,Pm,cubic,-1.176,2.045,0,0,4.377,90,90
PbRuO3,Pb,Ru,orthorhombic,-1.176,0.112,0.195,0,5.531,90,90
BiRuO3,Bi,Ru,orthorhombic,-1.176,0.138,0.192,0,5.398,90,90
FeLiO3,Fe,Li,orthorhombic,-1.175,0.376,0.6,0,4.805,90,90
BeMoO3,Be,Mo,cubic,-1.171,1.308,-0.006,0,3.873,90,90
PdDyO3,Pd,Dy,cubic,-1.171,1.034,0.596,0,4.33,90,90
ZnMnO3,Zn,Mn,cubic,-1.171,0.539,0.632,0,3.707,90,90
AgEuO3,Ag,Eu,orthorhombic,-1.17,0.347,-0.033,0,5.684,90,90
BNpO3,B,Np,cubic,-1.17,1.943,0.4,0,4.245,90,90
NbMoO3,Nb,Mo,cubic,-1.169,1.136,0.561,0,3.929,90,90
MoYO3,Mo,Y,cubic,-1.168,1.735,0.6,0,4.278,90,90
PaPdO3,Pa,Pd,cubic,-1.166,1.001,0.315,0,4.007,90,90
PbNiO3,Pb,Ni,orthorhombic,-1.163,0.002,0.397,0,5.264,90,90
RuLuO3,Ru,Lu,cubic,-1.162,1.389,0.998,0,4.172,90,90
ReTiO3,Re,Ti,cubic,-1.162,1.296,0.994,0,3.88,90,90
ReTiO3,Re,Ti,cubic,-1.162,1.296,0.994,0,3.88,90,90
HgCeO3,Hg,Ce,cubic,-1.161,0.781,-0.002,0,4.5,90,90
