formula,atom a,atom b,lowest distortion,e_form,mu_b,vpa,gap pbe,a,alpha,beta,gamma,e_form oxygen
LuAlO3,Lu,Al,orthorhombic,-3.622,0,9.848,6.174,5.078,90,90,90,6.179
BaThO3,Ba,Th,orthorhombic,-3.62,0,18.557,4.363,6.369,90,90,90,6.151
TmAlO3,Tm,Al,orthorhombic,-3.616,0,9.976,6.198,5.108,90,90,90,6.232
UScO3,U,Sc,orthorhombic,-3.609,0.6,13.125,2.023,5.6,90,90,90,4.046
AcSmO3,Ac,Sm,orthorhombic,-3.608,0,16.756,4.287,6.08,90,90,90,4.949
ErAlO3,Er,Al,orthorhombic,-3.602,0,10.062,6.221,5.131,90,90,90,6.255
ThMgO3,Th,Mg,orthorhombic,-3.599,0,12.347,5.339,5.46,90,90,90,5.269
HoAlO3,Ho,Al,orthorhombic,-3.595,0,10.127,6.137,5.149,90,90,90,6.291
DyAlO3,Dy,Al,orthorhombic,-3.588,0,10.198,6.026,5.175,90,90,90,6.313
EuNpO3,Eu,Np,orthorhombic,-3.586,0.6,15.202,2.489,5.882,90,90,90,3.634
ThScO3,Th,Sc,orthorhombic,-3.586,0.158,13.512,0,5.655,90,90,90,4.593
PuHfO3,Pu,Hf,orthorhombic,-3.577,1.2,13.513,0.775,5.721,90,90,90,3.981
AcTbO3,Ac,Tb,orthorhombic,-3.561,0,16.078,4.382,6.009,90,90,90,5.379
YAlO3,Y,Al,orthorhombic,-3.56,0,10.255,5.872,5.188,90,90,90,6.272
EuTiO3,Eu,Ti,orthorhombic,-3.558,0,11.432,2.192,5.443,90,90,90,5.431
ScSmO3,Sc,Sm,orthorhombic,-3.556,0,13.929,4.072,5.706,90,90,90,-3.864
TmAcO3,Tm,Ac,orthorhombic,-3.548,0,16.948,3.315,6.091,90,90,90,0.334
HfYbO3,Hf,Yb,orthorhombic,-3.543,0,12.94,3.864,5.539,90,90,90,-7.385
ErAcO3,Er,Ac,orthorhombic,-3.539,0,17.048,3.463,6.095,90,90,90,0.52
SmAlO3,Sm,Al,orthorhombic,-3.537,0,10.494,4.871,5.288,90,90,90,6.413
HoAcO3,Ho,Ac,orthorhombic,-3.535,0,17.119,3.62,6.113,90,90,90,0.642
AcAlO3,Ac,Al,cubic,-3.532,0,11.487,4.307,3.858,90,90,90,6.695
PmAlO3,Pm,Al,orthorhombic,-3.531,0,10.553,4.732,5.301,90,90,90,6.434
YbTiO3,Yb,Ti,orthorhombic,-3.528,0,10.921,2.364,5.298,90,90,90,5.064
PuAlO3,Pu,Al,orthorhombic,-3.522,1,10.596,3.199,5.307,90,90,90,4.571
CaZrO3,Ca,Zr,orthorhombic,-3.517,0,12.962,4.083,5.582,90,90,90,6.012
NdAlO3,Nd,Al,rhombohedral,-3.513,0,10.645,4.598,5.297,60.6,60.6,60.6,6.454
ScAlO3,Sc,Al,orthorhombic,-3.508,0,9.322,5.018,4.939,90,90,90,5.068
ScAcO3,Sc,Ac,orthorhombic,-3.507,0,16.091,3.507,5.962,90,90,90,-6.533
ScNdO3,Sc,Nd,orthorhombic,-3.506,0,14.353,3.62,5.768,90,90,90,-4.7
EuPuO3,Eu,Pu,orthorhombic,-3.502,0.8,14.941,2.018,5.846,90,90,90,3.583
NpAlO3,Np,Al,rhombohedral,-3.502,0.8,10.629,2.622,5.307,60.2,60.2,60.2,6.44
PrAlO3,Pr,Al,rhombohedral,-3.5,0,10.784,4.271,5.323,60.5,60.5,60.5,6.474
HfEuO3,Hf,Eu,orthorhombic,-3.497,0,14.356,3.359,5.753,90,90,90,-11.178
SrUO3,Sr,U,orthorhombic,-3.487,0.4,16.258,2.645,6.026,90,90,90,5.193
LuTiO3,Lu,Ti,orthorhombic,-3.482,0.2,11.046,0,5.222,90,90,90,4.341
TmTiO3,Tm,Ti,orthorhombic,-3.482,0.2,11.186,0,5.245,90,90,90,4.479
LaHfO3,La,Hf,orthorhombic,-3.481,0,13.675,0,5.709,90,90,90,5.446
ScPrO3,Sc,Pr,orthorhombic,-3.479,0,14.625,3.617,5.806,90,90,90,-5.149
CeAlO3,Ce,Al,rhombohedral,-3.479,0,10.924,3.795,5.36,60.1,60.1,60.1,6.49
ScNpO3,Sc,Np,orthorhombic,-3.479,0.8,14.522,1.833,5.815,90,90,90,2.058
BaZrO3,Ba,Zr,cubic,-3.477,0,15.082,3.108,4.225,90,90,90,6.582
ErTiO3,Er,Ti,orthorhombic,-3.473,0.2,11.287,0,5.262,90,90,90,4.577
YbPuO3,Yb,Pu,orthorhombic,-3.469,0.8,14.265,1.952,5.729,90,90,90,2.783
HoTiO3,Ho,Ti,orthorhombic,-3.468,0.2,11.369,0,5.28,90,90,90,4.64
DyTiO3,Dy,Ti,orthorhombic,-3.464,0.2,11.46,0,5.299,90,90,90,4.715
ZrYbO3,Zr,Yb,orthorhombic,-3.455,0,13.136,4.007,5.558,90,90,90,-6.177
GdTiO3,Gd,Ti,orthorhombic,-3.45,0.2,11.654,0,5.341,90,90,90,4.865
TbAlO3,Tb,Al,orthorhombic,-3.448,0,10.267,5.845,5.198,90,90,90,6.336
ScCeO3,Sc,Ce,orthorhombic,-3.448,0,14.934,3.552,5.85,90,90,90,-5.624
AcTiO3,Ac,Ti,orthorhombic,-3.443,0.003,12.8,0,5.647,90,90,90,5.944
PuZrO3,Pu,Zr,orthorhombic,-3.44,1.2,13.845,0.423,5.747,90,90,90,3.634
YTiO3,Y,Ti,orthorhombic,-3.44,0.2,11.518,0,5.309,90,90,90,4.77
GdHfO3,Gd,Hf,orthorhombic,-3.433,0.001,12.641,0,5.492,90,90,90,4.652
SmTiO3,Sm,Ti,orthorhombic,-3.421,0.2,11.906,0,5.398,90,90,90,5.05
PmTiO3,Pm,Ti,orthorhombic,-3.414,0.2,11.996,0,5.422,90,90,90,5.109
SmHfO3,Sm,Hf,orthorhombic,-3.408,0.005,12.98,0,5.55,90,90,90,4.839
ZrEuO3,Zr,Eu,orthorhombic,-3.408,0,14.504,3.534,5.803,90,90,90,-9.478
PrHfO3,Pr,Hf,orthorhombic,-3.402,0,13.311,0,5.589,90,90,90,5.113
PmHfO3,Pm,Hf,orthorhombic,-3.402,0.082,13.113,0,5.574,90,90,90,4.916
CeHfO3,Ce,Hf,orthorhombic,-3.398,0,13.468,0,5.613,90,90,90,5.222
AlLuO3,Al,Lu,rhombohedral,-3.397,0,12.134,3.815,5.786,55.1,55.1,55.1,-5.759
NdTiO3,Nd,Ti,orthorhombic,-3.396,0.199,12.138,0,5.457,90,90,90,5.207
ThVO3,Th,V,orthorhombic,-3.392,0.6,12.961,2.332,5.476,90,90,90,3.91
BaNpO3,Ba,Np,orthorhombic,-3.389,0.6,17.299,2.57,6.233,90,90,90,4.436
NdHfO3,Nd,Hf,orthorhombic,-3.386,0.009,13.366,0,5.628,90,90,90,5.015
AlTmO3,Al,Tm,rhombohedral,-3.378,0,12.404,3.756,5.828,55.1,55.1,55.1,-6.024
NpTiO3,Np,Ti,orthorhombic,-3.374,0.863,12.298,0,5.485,90,90,90,5.168
CaTiO3,Ca,Ti,orthorhombic,-3.367,0,11.199,2.356,5.355,90,90,90,5.068
UMgO3,U,Mg,orthorhombic,-3.363,0.4,11.777,3.156,5.348,90,90,90,0.9
CeTiO3,Ce,Ti,orthorhombic,-3.363,0.11,12.347,0,5.534,90,90,90,5.397
AlErO3,Al,Er,orthorhombic,-3.36,0,11.774,3.077,5.328,90,90,90,-6.199
ThBeO3,Th,Be,orthorhombic,-3.359,0,9.908,3.063,5.182,90,90,90,5.796
AlHoO3,Al,Ho,rhombohedral,-3.357,0,12.949,3.715,5.966,54.1,54.1,54.1,-6.308
ThTiO3,Th,Ti,orthorhombic,-3.355,0.001,12.621,0,5.502,90,90,90,4.39
SrTiO3,Sr,Ti,rhombohedral,-3.354,0,12.003,2.009,5.533,60.1,60.1,60.1,5.504
SmZrO3,Sm,Zr,orthorhombic,-3.353,0.051,13.292,0,5.599,90,90,90,4.476
PmZrO3,Pm,Zr,orthorhombic,-3.348,0.1,13.409,0,5.618,90,90,90,4.558
ThBaO3,Th,Ba,orthorhombic,-3.345,0,19.059,2.709,6.799,90,90,90,-2.473
AlDyO3,Al,Dy,rhombohedral,-3.343,0,13.125,3.763,5.993,54.1,54.1,54.1,-6.424
EuPaO3,Eu,Pa,orthorhombic,-3.341,0.2,15.877,4.657,5.962,90,90,90,5.807
AlLaO3,Al,La,orthorhombic,-3.335,0,13.793,3.69,5.461,90,90,90,-6.662
NdZrO3,Nd,Zr,orthorhombic,-3.332,0.139,13.622,0,5.643,90,90,90,4.658
SrPuO3,Sr,Pu,orthorhombic,-3.33,0.8,15.748,1.949,5.979,90,90,90,3.783
USrO3,U,Sr,orthorhombic,-3.326,0.4,16.725,1.939,5.809,90,90,90,-7.732
TbTiO3,Tb,Ti,orthorhombic,-3.326,0.2,11.554,0,5.318,90,90,90,4.797
HfSrO3,Hf,Sr,orthorhombic,-3.325,0,15.858,3.16,5.787,90,90,90,-12.667
AlYO3,Al,Y,rhombohedral,-3.324,0,13.18,3.81,6.003,54.1,54.1,54.1,-6.49
PrZrO3,Pr,Zr,orthorhombic,-3.32,0.167,13.899,0,5.681,90,90,90,4.757
TiYbO3,Ti,Yb,orthorhombic,-3.319,0,12.773,2.612,5.393,90,90,90,-8.194
AlGdO3,Al,Gd,rhombohedral,-3.316,0,13.622,3.807,6.086,53.8,53.8,53.8,-6.621
EuTaO3,Eu,Ta,orthorhombic,-3.311,0,12.47,0,5.561,90,90,90,5.762
NpZrO3,Np,Zr,orthorhombic,-3.311,0.681,13.646,0,5.662,90,90,90,4.437
TbHfO3,Tb,Hf,orthorhombic,-3.308,0.003,12.51,0,5.474,90,90,90,4.589
YbPaO3,Yb,Pa,orthorhombic,-3.308,0.2,15.125,2.527,5.85,90,90,90,5.2
AlPuO3,Al,Pu,orthorhombic,-3.306,1,13.362,1.93,5.412,90,90,90,-2.763
CeZrO3,Ce,Zr,orthorhombic,-3.305,0.018,14.185,0,5.746,90,90,90,4.869
AlAcO3,Al,Ac,orthorhombic,-3.304,0,14.825,3.118,5.553,90,90,90,-5.958
BaPuO3,Ba,Pu,rhombohedral,-3.3,0.8,17.022,2.12,6.197,60.5,60.5,60.5,4.205
HoScO3,Ho,Sc,cubic,-3.293,0,12.606,2.543,3.98,90,90,90,5.011
TmVO3,Tm,V,orthorhombic,-3.293,0.4,11.162,1.382,5.245,90,90,90,3.816
BaTiO3,Ba,Ti,tetragonal,-3.288,0,13.029,1.68,3.987,90,90,90,5.357
PmLuO3,Pm,Lu,cubic,-3.286,0,14.49,2.163,4.169,90,90,90,4.894
SiEuO3,Si,Eu,orthorhombic,-3.284,0,11.892,3.915,4.56,90,90,90,-9.213
EuSiO3,Eu,Si,cubic,-3.283,0,9.277,3.989,3.593,90,90,90,6.453
HfPuO3,Hf,Pu,orthorhombic,-3.279,1.139,13.818,0,6.102,90,90,90,0.432
HoVO3,Ho,V,orthorhombic,-3.276,0.4,11.313,1.255,5.278,90,90,90,3.926
NpMgO3,Np,Mg,orthorhombic,-3.275,0.6,11.58,2.262,5.344,90,90,90,-0.126
UTiO3,U,Ti,orthorhombic,-3.271,0.414,12.263,0,5.463,90,90,90,5.163
DyVO3,Dy,V,orthorhombic,-3.271,0.4,11.416,1.112,5.296,90,90,90,3.989
ErScO3,Er,Sc,cubic,-3.269,0,12.575,2.751,3.976,90,90,90,4.961
HfBaO3,Hf,Ba,orthorhombic,-3.268,0,18.555,3.156,5.992,90,90,90,-7.285
AlSmO3,Al,Sm,orthorhombic,-3.267,0,12.728,3.072,5.45,90,90,90,-6.818
HfLaO3,Hf,La,orthorhombic,-3.262,0,14.5,0,5.982,90,90,90,-2.024
EuLuO3,Eu,Lu,orthorhombic,-3.261,0.2,13.942,0,5.739,90,90,90,-0.626
SmLuO3,Sm,Lu,cubic,-3.26,0,14.456,1.986,4.166,90,90,90,4.842
AlPmO3,Al,Pm,orthorhombic,-3.256,0,12.876,2.97,5.469,90,90,90,-6.858
MgUO3,Mg,U,orthorhombic,-3.256,0.4,13.324,2.986,5.635,90,90,90,3.749
GdVO3,Gd,V,orthorhombic,-3.255,0.4,11.626,1.258,5.336,90,90,90,4.106
LaDyO3,La,Dy,cubic,-3.253,0,15.915,1.85,4.301,90,90,90,4.719
YVO3,Y,V,orthorhombic,-3.25,0.4,11.521,1.489,5.313,90,90,90,3.984
UHfO3,U,Hf,orthorhombic,-3.25,0.621,13.562,0,5.629,90,90,90,5.259
LaVO3,La,V,orthorhombic,-3.248,0.4,12.379,1.248,5.537,90,90,90,4.609
HfPmO3,Hf,Pm,orthorhombic,-3.245,0,13.845,0,6,90,90,90,-0.249
HfAcO3,Hf,Ac,orthorhombic,-3.244,-0.001,15.476,0,5.924,90,90,90,-4.516
YbLuO3,Yb,Lu,orthorhombic,-3.244,0.2,13.155,0,5.745,90,90,90,-1.221
NdTmO3,Nd,Tm,cubic,-3.239,0,14.978,1.895,4.215,90,90,90,4.762
EuScO3,Eu,Sc,orthorhombic,-3.238,0.2,12.808,0,5.567,90,90,90,-0.446
ThAlO3,Th,Al,cubic,-3.237,0,11.019,0,3.805,90,90,90,5.986
AlNpO3,Al,Np,orthorhombic,-3.234,0.8,13.507,1.468,5.448,90,90,90,-1.407
EuTmO3,Eu,Tm,orthorhombic,-3.234,0.2,14.242,0,5.803,90,90,90,-0.721
AlNdO3,Al,Nd,orthorhombic,-3.233,0,13.108,3.042,5.495,90,90,90,-7.031
LuCrO3,Lu,Cr,orthorhombic,-3.233,0.6,10.7,2.393,5.175,90,90,90,3.926
TmCrO3,Tm,Cr,orthorhombic,-3.229,0.6,10.864,2.496,5.209,90,90,90,4.031
LaYO3,La,Y,cubic,-3.229,0,15.904,1.912,4.3,90,90,90,4.641
ZrSrO3,Zr,Sr,orthorhombic,-3.229,0,15.972,3.5,5.87,90,90,90,-10.761
YbThO3,Yb,Th,cubic,-3.229,0,18.729,1.129,4.541,90,90,90,4.825
HfNdO3,Hf,Nd,orthorhombic,-3.226,0,14.025,0,6.019,90,90,90,-1.811
SmVO3,Sm,V,orthorhombic,-3.223,0.4,11.864,1.105,5.398,90,90,90,4.238
AcVO3,Ac,V,orthorhombic,-3.221,0.4,12.873,1.21,5.664,90,90,90,4.968
HfNpO3,Hf,Np,orthorhombic,-3.22,0.851,13.969,0,6.072,90,90,90,-0.117
ErCrO3,Er,Cr,orthorhombic,-3.217,0.6,10.953,2.462,5.23,90,90,90,4.12
PmVO3,Pm,V,orthorhombic,-3.216,0.4,11.97,1.257,5.418,90,90,90,4.295
AlPrO3,Al,Pr,orthorhombic,-3.213,0,13.347,2.935,5.529,90,90,90,-7.082
HfPrO3,Hf,Pr,orthorhombic,-3.21,0,14.228,0,6.039,90,90,90,-2.349
YbScO3,Yb,Sc,orthorhombic,-3.209,0.2,12.182,0,5.524,90,90,90,-1.039
PmTmO3,Pm,Tm,cubic,-3.209,0,14.903,1.964,4.208,90,90,90,4.699
EuErO3,Eu,Er,orthorhombic,-3.209,0.2,14.407,0,5.813,90,90,90,-0.805
DyCrO3,Dy,Cr,orthorhombic,-3.204,0.6,11.115,2.524,5.265,90,90,90,4.239
GdLuO3,Gd,Lu,cubic,-3.203,0,14.345,1.993,4.155,90,90,90,4.72
TiGdO3,Ti,Gd,orthorhombic,-3.203,0.2,12.911,0,5.646,90,90,90,-5.794
CaThO3,Ca,Th,cubic,-3.203,0,18.935,1.603,4.558,90,90,90,5.025
ZrLaO3,Zr,La,orthorhombic,-3.197,0,14.87,0,6.013,90,90,90,-8.803
AlTbO3,Al,Tb,rhombohedral,-3.197,0,13.312,3.738,6.025,54,54,54,-6.525
NdVO3,Nd,V,orthorhombic,-3.196,0.4,12.091,1.214,5.453,90,90,90,4.373
PaEuO3,Pa,Eu,orthorhombic,-3.196,0.2,15.978,1.751,5.734,90,90,90,-7.593
EuHoO3,Eu,Ho,orthorhombic,-3.192,0.2,14.563,0,5.835,90,90,90,-0.853
HfCeO3,Hf,Ce,orthorhombic,-3.19,0,14.483,0,6.053,90,90,90,-2.899
TiLaO3,Ti,La,orthorhombic,-3.19,0.2,14.351,0,5.698,90,90,90,-7.528
AlCeO3,Al,Ce,orthorhombic,-3.19,0,13.608,2.937,5.557,90,90,90,-7.106
LuScO3,Lu,Sc,cubic,-3.189,0,12.449,2.638,3.963,90,90,90,4.801
GdCrO3,Gd,Cr,orthorhombic,-3.185,0.6,11.301,2.406,5.307,90,90,90,4.365
NdErO3,Nd,Er,cubic,-3.182,0,15.243,1.892,4.24,90,90,90,4.639
UZrO3,U,Zr,orthorhombic,-3.182,0.51,13.763,0,5.669,90,90,90,5.154
TiSrO3,Ti,Sr,orthorhombic,-3.182,0.001,15.27,2.843,5.607,90,90,90,-11.834
SmTmO3,Sm,Tm,cubic,-3.181,0,14.864,1.999,4.204,90,90,90,4.65
SrPaO3,Sr,Pa,orthorhombic,-3.18,0.2,16.648,2.529,6.087,90,90,90,5.517
MgNpO3,Mg,Np,orthorhombic,-3.18,0.6,13.121,2.588,5.597,90,90,90,1.747
PrVO3,Pr,V,orthorhombic,-3.18,0.4,12.254,1.333,5.482,90,90,90,4.458
YCrO3,Y,Cr,orthorhombic,-3.178,0.6,11.195,2.6,5.281,90,90,90,4.248
UVO3,U,V,orthorhombic,-3.176,1,12.447,1.685,5.392,90,90,90,4.461
EuDyO3,Eu,Dy,orthorhombic,-3.173,0.198,14.724,0,5.866,90,90,90,-0.884
PrHoO3,Pr,Ho,cubic,-3.171,0,15.54,1.831,4.267,90,90,90,4.602
LaCrO3,La,Cr,orthorhombic,-3.168,0.6,12.024,2.07,5.506,90,90,90,4.845
NpVO3,Np,V,orthorhombic,-3.164,1.2,12.126,1.129,5.462,90,90,90,4.508
ThLuO3,Th,Lu,cubic,-3.16,-0.003,14.621,0,4.181,90,90,90,4.104
CeVO3,Ce,V,orthorhombic,-3.159,0.4,12.42,1.109,5.528,90,90,90,4.542
YbNbO3,Yb,Nb,orthorhombic,-3.157,0.003,12.034,0,5.432,90,90,90,5.047
TiAcO3,Ti,Ac,rhombohedral,-3.156,0.2,16.959,0.598,6.304,58.1,58.1,58.1,-7.753
EuYO3,Eu,Y,orthorhombic,-3.153,0.2,14.773,0,5.931,90,90,90,-1.052
BaPaO3,Ba,Pa,orthorhombic,-3.153,0.2,17.997,2.695,6.316,90,90,90,6.391
TiBaO3,Ti,Ba,orthorhombic,-3.152,0,17.499,2.986,5.85,90,90,90,-13.843
ZrAcO3,Zr,Ac,orthorhombic,-3.152,0,16.054,0,6.077,90,90,90,-2.736
SmCrO3,Sm,Cr,orthorhombic,-3.151,0.6,11.543,2.441,5.364,90,90,90,4.538
YLuO3,Y,Lu,cubic,-3.151,0,14.331,2.052,4.154,90,90,90,2.879
PmErO3,Pm,Er,cubic,-3.15,0,15.13,1.765,4.229,90,90,90,4.536
CaPaO3,Ca,Pa,rhombohedral,-3.149,0.2,16.035,1.851,6.124,59.4,59.4,59.4,5.379
LaGdO3,La,Gd,cubic,-3.149,0,16.472,1.561,4.351,90,90,90,3.005
PuMgO3,Pu,Mg,orthorhombic,-3.148,0.8,11.539,1.607,5.332,90,90,90,-0.714
DyLuO3,Dy,Lu,cubic,-3.148,0,14.264,2.163,4.147,90,90,90,4.616
LiUO3,Li,U,rhombohedral,-3.146,0.2,12.908,3.281,5.888,55.4,55.4,55.4,4.056
TiPmO3,Ti,Pm,orthorhombic,-3.145,0.2,13.474,0,5.696,90,90,90,-6.774
PmCrO3,Pm,Cr,orthorhombic,-3.143,0.6,11.625,2.375,5.386,90,90,90,4.594
EuUO3,Eu,U,cubic,-3.143,0.382,17.029,0,4.399,90,90,90,4.988
ZrPrO3,Zr,Pr,orthorhombic,-3.14,0,14.625,0,6.054,90,90,90,-8.028
KUO3,K,U,orthorhombic,-3.14,0.2,16.302,3.197,6.12,90,90,90,-11.265
AcCrO3,Ac,Cr,orthorhombic,-3.138,0.6,12.5,1.817,5.594,90,90,90,5.121
NdHoO3,Nd,Ho,cubic,-3.137,0,15.48,1.702,4.262,90,90,90,4.513
ZrNpO3,Zr,Np,orthorhombic,-3.136,0.858,14.138,0,6.1,90,90,90,3.01
CeYO3,Ce,Y,cubic,-3.136,0,15.905,1.935,4.3,90,90,90,4.567
EuGdO3,Eu,Gd,orthorhombic,-3.132,0.199,15.06,0,5.913,90,90,90,-0.954
DyHfO3,Dy,Hf,cubic,-3.131,0,13.456,0,4.067,90,90,90,4.507
ScYbO3,Sc,Yb,orthorhombic,-3.13,0.2,13.152,1.054,5.688,90,90,90,-3.326
HfUO3,Hf,U,orthorhombic,-3.128,0.631,14.155,0,6.015,90,90,90,-3.025
LuEuO3,Lu,Eu,orthorhombic,-3.128,0.2,14.799,0,5.582,90,90,90,-3.424
SmErO3,Sm,Er,cubic,-3.123,0,15.136,2.014,4.23,90,90,90,4.502
PrDyO3,Pr,Dy,cubic,-3.123,0,15.805,1.646,4.291,90,90,90,4.491
GdTmO3,Gd,Tm,cubic,-3.122,0,14.761,1.964,4.195,90,90,90,4.498
NdCrO3,Nd,Cr,orthorhombic,-3.122,0.6,11.777,2.29,5.426,90,90,90,4.678
SrTaO3,Sr,Ta,orthorhombic,-3.121,0,13.11,0,5.691,90,90,90,6.161
HoLuO3,Ho,Lu,cubic,-3.121,0,14.255,2.083,4.146,90,90,90,2.495
TmEuO3,Tm,Eu,orthorhombic,-3.119,0.2,14.961,0,5.615,90,90,90,-2.593
TiNdO3,Ti,Nd,orthorhombic,-3.119,0.2,13.718,0,5.719,90,90,90,-6.992
ZrCeO3,Zr,Ce,orthorhombic,-3.118,0,14.898,0,6.08,90,90,90,-8.487
RbUO3,Rb,U,rhombohedral,-3.114,0.2,16.684,2.986,6.179,60,60,60,4.513
AcThO3,Ac,Th,cubic,-3.113,0.002,19.466,0,4.6,90,90,90,3.724
AcPmO3,Ac,Pm,cubic,-3.111,0,17.814,2.014,4.466,90,90,90,4.845
CaLuO3,Ca,Lu,orthorhombic,-3.111,0.2,13.51,0,5.798,90,90,90,-0.989
BaTaO3,Ba,Ta,cubic,-3.108,0,13.824,0,4.104,90,90,90,6.487
HoHfO3,Ho,Hf,cubic,-3.106,0,13.461,0,4.068,90,90,90,4.459
PmHoO3,Pm,Ho,cubic,-3.105,0,15.393,1.764,4.254,90,90,90,4.431
EuAlO3,Eu,Al,cubic,-3.105,0.166,10.325,0,3.724,90,90,90,0.755
PrCrO3,Pr,Cr,orthorhombic,-3.104,0.6,11.895,2.237,5.462,90,90,90,4.766
NaUO3,Na,U,orthorhombic,-3.104,0.2,14.05,3.254,5.726,90,90,90,4.35
EuVO3,Eu,V,orthorhombic,-3.1,0.2,11.066,0,5.361,90,90,90,4.117
PrYO3,Pr,Y,cubic,-3.1,0,15.797,2.003,4.291,90,90,90,4.454
HoEuO3,Ho,Eu,orthorhombic,-3.1,0.2,15.195,0,5.675,90,90,90,-2.101
ScEuO3,Sc,Eu,orthorhombic,-3.099,0.2,14.227,0.641,5.822,90,90,90,-5.376
TiPrO3,Ti,Pr,orthorhombic,-3.098,0.2,13.954,0,5.738,90,90,90,-7.286
CaTaO3,Ca,Ta,orthorhombic,-3.097,0,12.223,0,5.489,90,90,90,5.448
AcYbO3,Ac,Yb,orthorhombic,-3.094,0.2,15.548,0,5.937,90,90,90,-0.312
MgTiO3,Mg,Ti,orthorhombic,-3.094,0,9.849,2.296,5.044,90,90,90,3.878
MnHfO3,Mn,Hf,orthorhombic,-3.093,1,11.554,3.348,5.331,90,90,90,3.919
NdDyO3,Nd,Dy,cubic,-3.089,0,15.73,1.704,4.285,90,90,90,4.401
CaTmO3,Ca,Tm,orthorhombic,-3.089,0.2,13.761,0,5.84,90,90,90,-1.074
MgPuO3,Mg,Pu,orthorhombic,-3.087,0.8,12.91,1.564,5.567,90,90,90,1.122
TiTbO3,Ti,Tb,orthorhombic,-3.087,0.2,12.735,0,5.624,90,90,90,-5.488
ThTmO3,Th,Tm,cubic,-3.086,0,15.013,0,4.218,90,90,90,3.804
NpCrO3,Np,Cr,orthorhombic,-3.083,1.4,11.729,1.131,5.441,90,90,90,4.866
