formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,c,alpha,gamma,e_form oxygen
KVO3,K,V,tetragonal,-2.271,0.099,0,12.542,0.284,3.685,4.618,90,90,2.017
GdTlO3,Gd,Tl,orthorhombic,-2.271,0.094,0.001,14.239,1.12,5.626,8.458,90,90,0.686
TbPaO3,Tb,Pa,cubic,-2.271,0.903,0.292,17.768,0,4.462,4.462,90,90,2.759
LuLaO3,Lu,La,cubic,-2.27,1.567,0,18.197,0,4.498,4.498,90,90,1.309
ThBO3,Th,B,cubic,-2.27,1.18,0,9.917,0,3.674,3.674,90,90,4.341
AcTlO3,Ac,Tl,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,8.547,90,90,1.876
SmCaO3,Sm,Ca,cubic,-2.27,0.872,0.2,14.23,0,4.144,4.144,90,90,-2.299
BaMnO3,Ba,Mn,orthorhombic,-2.269,0.111,0.598,12.644,0,5.626,7.972,90,90,1.152
GdLiO3,Gd,Li,orthorhombic,-2.269,0.31,0.4,10.592,0,5,7.308,90,90,-1.128
TbNiO3,Tb,Ni,orthorhombic,-2.269,0.008,0.199,10.631,0,5.191,7.43,90,90,1.113
AuUO3,Au,U,orthorhombic,-2.267,0.237,0.2,14.996,1.753,5.813,8.484,90,90,2.881
PaGdO3,Pa,Gd,cubic,-2.267,1.023,0.394,16.219,0,4.328,4.328,90,90,2.844
ScTbO3,Sc,Tb,cubic,-2.266,1.418,0,15.67,0.463,4.279,4.279,90,90,-2.611
NbCrO3,Nb,Cr,orthorhombic,-2.265,0.223,1,10.911,0,5.348,7.174,90,90,0.74
YTlO3,Y,Tl,orthorhombic,-2.265,0.108,0,14.133,1.097,5.576,8.549,90,90,0.61
PaVO3,Pa,V,cubic,-2.264,0.5,0.8,12.113,0,3.927,3.927,90,90,2.604
LaLiO3,La,Li,orthorhombic,-2.263,0.275,0.4,11.446,0.349,5.296,7.598,90,90,-0.623
GdCuO3,Gd,Cu,orthorhombic,-2.263,0.043,0,11.178,0,5.251,7.265,90,90,0.875
ThPuO3,Th,Pu,cubic,-2.262,1.504,1.168,21.917,0,4.785,4.785,90,90,-2.088
RbWO3,Rb,W,orthorhombic,-2.262,0.115,-0.001,12.654,0,5.632,7.973,90,90,5.767
ZnPmO3,Zn,Pm,orthorhombic,-2.262,0.236,0.2,13.211,0,5.494,8.386,90,90,-4.559
TlGdO3,Tl,Gd,orthorhombic,-2.261,0.104,0.001,14.658,0.896,5.826,8.517,90,90,-3.09
NaVO3,Na,V,tetragonal,-2.261,0.214,0,10.687,0.38,3.673,3.961,90,90,2.295
EuRuO3,Eu,Ru,orthorhombic,-2.26,-0.112,0.383,11.669,0,5.413,7.738,90,90,2.747
SmEuO3,Sm,Eu,cubic,-2.26,0.949,0.117,15.547,0,4.268,4.268,90,90,-1.703
GdGeO3,Gd,Ge,cubic,-2.259,0.558,0,11.688,0,3.881,3.881,90,90,2.902
YCuO3,Y,Cu,orthorhombic,-2.259,0.048,0,11.081,0.374,5.237,7.174,90,90,0.702
AlPaO3,Al,Pa,cubic,-2.259,0.768,0,16.861,2.193,4.385,4.385,90,90,5.433
UCeO3,U,Ce,cubic,-2.258,1.221,0.6,18.799,0,4.547,4.547,90,90,0.678
ScMnO3,Sc,Mn,cubic,-2.257,0.655,0.766,10.681,0,3.766,3.766,90,90,1.813
ScPbO3,Sc,Pb,orthorhombic,-2.256,0.265,0.001,13.876,0,5.724,8.252,90,90,0.46
YLiO3,Y,Li,orthorhombic,-2.256,0.33,0.4,10.476,0,5.023,7.226,90,90,-1.332
HfAgO3,Hf,Ag,orthorhombic,-2.256,0.153,0,12.96,0,5.04,9.549,90,90,-2.601
UFeO3,U,Fe,cubic,-2.256,0.644,1.57,11.842,0,3.898,3.898,90,90,2.177
EuBiO3,Eu,Bi,orthorhombic,-2.255,-0.106,0,14.761,0,5.807,8.373,90,90,1.429
LaIrO3,La,Ir,orthorhombic,-2.255,0.085,0,12.737,0.809,5.466,7.908,90,90,0.504
ZnPrO3,Zn,Pr,orthorhombic,-2.255,0.193,0.2,14.103,0.655,5.493,8.743,90,90,-4.902
BaTcO3,Ba,Tc,rhombohedral,-2.254,0.056,0.065,13.076,0,5.699,5.699,60,60,4.347
ZrErO3,Zr,Er,cubic,-2.252,1.34,0.199,14.777,0,4.196,4.196,90,90,-4.042
NaMoO3,Na,Mo,cubic,-2.251,0.013,0,11.739,0,3.886,3.886,90,90,4.698
HoMoO3,Ho,Mo,cubic,-2.251,0.655,0.005,12.312,0,3.949,3.949,90,90,1.541
GdWO3,Gd,W,cubic,-2.25,0.728,0.001,12.45,0,3.963,3.963,90,90,1.535
AcLiO3,Ac,Li,cubic,-2.248,0.223,0.399,11.628,0,3.874,3.874,90,90,-0.334
CaReO3,Ca,Re,orthorhombic,-2.248,0.11,0.129,11.586,0,5.343,7.706,90,90,2.781
SmTlO3,Sm,Tl,orthorhombic,-2.247,0.072,0,14.526,1.257,5.684,8.458,90,90,0.884
AgTaO3,Ag,Ta,rhombohedral,-2.247,0.018,0,12.114,2.03,5.584,5.584,59.3,59.3,5.586
AcSrO3,Ac,Sr,cubic,-2.247,0.78,-0.006,17.587,0,4.447,4.447,90,90,-1.505
KMoO3,K,Mo,rhombohedral,-2.247,0.032,0,12.235,0,5.572,5.572,60,60,5.02
YbRuO3,Yb,Ru,orthorhombic,-2.246,-0.083,0.346,11.06,0,5.232,7.569,90,90,2.043
AgNpO3,Ag,Np,orthorhombic,-2.246,0.086,0.4,14.282,1.698,5.694,8.356,90,90,1.048
NaSmO3,Na,Sm,orthorhombic,-2.245,0.185,0,13.5,2.744,6.111,7.075,90,90,-1.399
LuPrO3,Lu,Pr,cubic,-2.244,1.525,0,17.971,0,4.479,4.479,90,90,2.007
BiTiO3,Bi,Ti,rhombohedral,-2.243,0.21,0.005,12.05,0,5.38,5.38,64.3,64.3,4.05
InNpO3,In,Np,cubic,-2.242,0.599,0.4,16.332,0,4.338,4.338,90,90,1.103
ErCeO3,Er,Ce,cubic,-2.242,1.466,0,18.584,0,4.529,4.529,90,90,-3.532
LuYbO3,Lu,Yb,cubic,-2.241,1.143,-0.159,13.552,0,4.077,4.077,90,90,-2.456
HgNpO3,Hg,Np,orthorhombic,-2.241,0.167,0.6,15.062,0.936,5.87,8.616,90,90,0.632
AcCuO3,Ac,Cu,orthorhombic,-2.241,-0.077,0,11.892,0,5.509,7.809,90,90,1.596
SmLiO3,Sm,Li,orthorhombic,-2.24,0.292,0.4,10.88,0,5.051,7.399,90,90,-0.931
AgHfO3,Ag,Hf,orthorhombic,-2.24,0.17,0.002,12.255,0,5.376,7.951,90,90,-0.054
CeReO3,Ce,Re,orthorhombic,-2.238,0.291,0.284,12.787,0,5.382,7.854,90,90,1.899
TiScO3,Ti,Sc,cubic,-2.238,1.227,0.2,12.309,0,3.948,3.948,90,90,-1.921
TcLaO3,Tc,La,rhombohedral,-2.237,0.384,0.4,15.148,0.323,5.756,5.756,65.7,65.7,-6.403
LaCuO3,La,Cu,orthorhombic,-2.237,0.027,0,11.38,0,5.414,7.686,90,90,1.357
MgVO3,Mg,V,cubic,-2.236,0.501,0.201,10.566,0,3.752,3.752,90,90,2.49
LaCdO3,La,Cd,orthorhombic,-2.236,0.115,0,14.348,0,5.723,8.229,90,90,-0.184
TcAcO3,Tc,Ac,rhombohedral,-2.235,0.32,0.4,16.243,0.516,5.908,5.908,65.2,65.2,-6.497
GeZrO3,Ge,Zr,cubic,-2.235,0.524,0,14.041,1.703,4.125,4.125,90,90,4.191
PmLiO3,Pm,Li,orthorhombic,-2.234,0.286,0.4,10.996,0,5.077,7.439,90,90,-0.854
VNaO3,V,Na,orthorhombic,-2.233,0.242,0,12.446,2.123,5.305,8.478,90,90,-10.109
LiMoO3,Li,Mo,rhombohedral,-2.232,0.09,-0.001,10.278,0,5.369,5.369,57.3,57.3,4.169
SrReO3,Sr,Re,rhombohedral,-2.232,0.119,0.006,12.456,0,5.59,5.59,60.4,60.4,4.409
SmInO3,Sm,In,cubic,-2.231,0.541,0,13.327,1.604,4.054,4.054,90,90,3.031
TiSiO3,Ti,Si,cubic,-2.231,0.733,0.399,8.748,0,3.523,3.523,90,90,4.402
RbVO3,Rb,V,tetragonal,-2.23,0.139,0,13.884,0.39,3.692,5.092,90,90,1.402
HfHgO3,Hf,Hg,orthorhombic,-2.228,0.257,0,13.616,1.593,5.258,9.34,90,90,-5.258
VTaO3,V,Ta,cubic,-2.226,0.509,0.727,12.481,0,3.966,3.966,90,90,4.183
GdAcO3,Gd,Ac,cubic,-2.225,1.461,0,20.281,0,4.663,4.663,90,90,1.081
ErMoO3,Er,Mo,cubic,-2.225,0.693,0.005,12.292,0,3.946,3.946,90,90,1.409
HfLuO3,Hf,Lu,cubic,-2.224,1.484,0.124,13.959,0,4.117,4.117,90,90,-4.832
PaPbO3,Pa,Pb,orthorhombic,-2.224,0.186,0.2,17.36,1.193,5.806,9.891,90,90,-1.697
AcCdO3,Ac,Cd,orthorhombic,-2.224,0.061,0,15.094,0,5.84,8.338,90,90,0.264
SnTaO3,Sn,Ta,tetragonal,-2.223,0.308,0,13.398,0,4.045,4.069,90,90,5.007
TlNbO3,Tl,Nb,tetragonal,-2.223,0.065,0,13.712,0.448,4.032,4.218,90,90,4.564
KLuO3,K,Lu,rhombohedral,-2.221,0.337,0.4,16.121,0,6.084,6.084,60.5,60.5,-0.716
FeHfO3,Fe,Hf,cubic,-2.22,0.691,0.8,13.214,0,4.043,4.043,90,90,0.664
ScPaO3,Sc,Pa,cubic,-2.219,1.079,0.37,16.724,0,4.373,4.373,90,90,3.28
MgMnO3,Mg,Mn,orthorhombic,-2.219,0.077,0.6,9.249,0.705,4.951,7.208,90,90,0.004
AlTaO3,Al,Ta,cubic,-2.219,0.753,0,12.82,0,4.002,4.002,90,90,5.56
SmCuO3,Sm,Cu,orthorhombic,-2.218,0.047,0,11.236,0,5.277,7.409,90,90,1.081
EuInO3,Eu,In,orthorhombic,-2.217,0.085,0.2,13.472,0,5.687,7.949,90,90,-0.835
TlLaO3,Tl,La,orthorhombic,-2.216,0.109,0,16.127,1.05,6.005,8.835,90,90,-2.779
DyGeO3,Dy,Ge,cubic,-2.216,0.609,0,11.572,0,3.868,3.868,90,90,2.802
UWO3,U,W,cubic,-2.213,0.731,0.644,12.827,0,4.003,4.003,90,90,2.108
TlSmO3,Tl,Sm,rhombohedral,-2.213,0.106,0,16.056,1.625,6.248,6.248,57,57,-3.007
YWO3,Y,W,cubic,-2.211,0.757,0.001,12.44,0,3.962,3.962,90,90,1.435
ZrThO3,Zr,Th,cubic,-2.21,1.441,0.398,18.669,0,4.536,4.536,90,90,0.652
LaOsO3,La,Os,orthorhombic,-2.209,0.256,0.093,12.602,0,5.345,7.829,90,90,1.597
CdScO3,Cd,Sc,orthorhombic,-2.209,0.197,0.2,12.169,0,5.46,7.811,90,90,-1.556
ZrVO3,Zr,V,cubic,-2.208,0.876,0.543,11.093,0,3.814,3.814,90,90,2.395
PaCrO3,Pa,Cr,cubic,-2.208,0.479,1,11.778,0,3.891,3.891,90,90,3.253
GdCaO3,Gd,Ca,cubic,-2.207,0.98,0.2,13.96,0,4.117,4.117,90,90,-2.579
RbLuO3,Rb,Lu,tetragonal,-2.207,0.343,0.387,16.615,0,4.36,4.365,90,90,-0.66
TmCeO3,Tm,Ce,cubic,-2.207,1.519,0,18.576,0,4.529,4.529,90,90,1.887
TbCeO3,Tb,Ce,cubic,-2.207,1.333,0,18.667,0.308,4.536,4.536,90,90,-2.959
DyPdO3,Dy,Pd,orthorhombic,-2.205,-0.02,0.005,11.872,0,5.378,7.508,90,90,-0.109
PmCuO3,Pm,Cu,orthorhombic,-2.204,-0.044,0,11.154,0,5.308,7.55,90,90,1.154
ZrHoO3,Zr,Ho,cubic,-2.203,1.378,0.2,15.018,0,4.219,4.219,90,90,-3.165
NdIrO3,Nd,Ir,orthorhombic,-2.202,0.087,0,12.385,0.905,5.368,7.797,90,90,-0.008
MgLuO3,Mg,Lu,cubic,-2.202,0.966,0.199,14.42,0,4.162,4.162,90,90,-2.382
PrLiO3,Pr,Li,orthorhombic,-2.201,0.268,0.4,11.365,0,5.187,7.543,90,90,-0.679
VThO3,V,Th,cubic,-2.2,1.247,0.601,18.712,0,4.54,4.54,90,90,-1.902
DyWO3,Dy,W,cubic,-2.199,0.743,0.001,12.402,0,3.958,3.958,90,90,1.216
BaReO3,Ba,Re,cubic,-2.199,0.134,0.005,13.167,0,4.038,4.038,90,90,4.794
Eu2O3,Eu,Eu,cubic,-2.199,0.519,0.011,14.814,0,4.2,4.2,90,90,-1.227
EuOsO3,Eu,Os,orthorhombic,-2.199,-0.143,0.179,11.695,0,5.377,7.734,90,90,2.511
GeUO3,Ge,U,cubic,-2.198,0.66,0.147,16.111,0,4.319,4.319,90,90,3.662
CeTlO3,Ce,Tl,orthorhombic,-2.197,0.032,0,15.189,1.079,5.81,8.453,90,90,1.325
EuTeO3,Eu,Te,orthorhombic,-2.197,0.146,0,14.143,0.215,5.718,8.244,90,90,2.866
CaFeO3,Ca,Fe,rhombohedral,-2.195,0.002,0.8,10.664,0,5.287,5.287,60.9,60.9,1.132
TmMoO3,Tm,Mo,cubic,-2.195,0.74,0.004,12.268,0,3.944,3.944,90,90,1.26
AcIrO3,Ac,Ir,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,8.082,90,90,1.277
KTmO3,K,Tm,cubic,-2.194,0.349,0.4,16.552,0,4.358,4.358,90,90,-0.757
PaTbO3,Pa,Tb,cubic,-2.194,0.981,0.393,15.923,0,4.302,4.302,90,90,2.993
GdEuO3,Gd,Eu,cubic,-2.193,1.062,0.106,15.453,0,4.259,4.259,90,90,-2.044
HoGeO3,Ho,Ge,cubic,-2.193,0.594,0,11.5,0,3.86,3.86,90,90,2.734
ZrCrO3,Zr,Cr,cubic,-2.191,0.816,0.502,10.805,0,3.78,3.78,90,90,2.431
SiHfO3,Si,Hf,cubic,-2.188,1.049,0,13.369,1.454,4.058,4.058,90,90,4.313
ThWO3,Th,W,cubic,-2.188,1.007,0.001,12.87,0,4.007,4.007,90,90,1.059
YbOsO3,Yb,Os,orthorhombic,-2.188,-0.088,0.167,11.096,0,5.182,7.574,90,90,1.732
UZnO3,U,Zn,cubic,-2.187,0.764,0.511,11.536,0,3.864,3.864,90,90,1.141
PrSnO3,Pr,Sn,cubic,-2.187,0.571,0,14.3,0,4.151,4.151,90,90,2.737
ThAcO3,Th,Ac,cubic,-2.187,1.549,0.013,20.28,0,4.663,4.663,90,90,-1.367
SnNpO3,Sn,Np,cubic,-2.186,0.655,0.591,16.918,0,4.39,4.39,90,90,1.877
LaRbO3,La,Rb,orthorhombic,-2.186,0.239,0,19.456,1.452,6.524,9.063,90,90,-2.592
GaNbO3,Ga,Nb,tetragonal,-2.186,0.159,0,13.115,0.296,3.963,4.175,90,90,4.928
NdCuO3,Nd,Cu,orthorhombic,-2.185,0.074,0,11.2,0,5.373,7.627,90,90,1.235
TiTaO3,Ti,Ta,cubic,-2.185,0.69,0.472,12.44,0,3.962,3.962,90,90,3.64
UAgO3,U,Ag,orthorhombic,-2.184,0.33,0.368,13.544,0,5.53,7.831,90,90,-2.108
PaGaO3,Pa,Ga,rhombohedral,-2.183,0.376,0.4,11.866,0,5.5,5.5,60.4,60.4,3.319
AlZrO3,Al,Zr,cubic,-2.183,1.117,0,13.936,0,4.115,4.115,90,90,-1.156
TiBiO3,Ti,Bi,orthorhombic,-2.182,0.271,0.053,14.916,0,5.186,9.329,90,90,-0.215
ScMgO3,Sc,Mg,cubic,-2.182,0.909,0.002,10.538,0,3.749,3.749,90,90,-2.95
GdInO3,Gd,In,cubic,-2.182,0.636,0,13.283,1.499,4.05,4.05,90,90,2.787
YAcO3,Y,Ac,cubic,-2.181,1.513,0,20.264,0,4.662,4.662,90,90,0.977
RbTmO3,Rb,Tm,rhombohedral,-2.181,0.354,0.4,17.036,0,6.2,6.2,60.5,60.5,-0.698
TaCuO3,Ta,Cu,orthorhombic,-2.181,0.216,0,11.068,0,4.832,8.882,90,90,-1.882
KScO3,K,Sc,cubic,-2.18,0.313,0.4,14.429,0,4.163,4.163,90,90,-0.848
CeLiO3,Ce,Li,orthorhombic,-2.18,0.262,0.4,11.48,0,5.269,7.587,90,90,-0.569
HfRbO3,Hf,Rb,tetragonal,-2.179,0.605,0.122,15.221,0,3.297,7.003,90,90,-19.068
SbTiO3,Sb,Ti,tetragonal,-2.177,0.295,0.145,12.745,0,3.892,4.207,90,90,3.841
EuPbO3,Eu,Pb,orthorhombic,-2.177,-0.15,0,14.096,1.234,5.726,8.227,90,90,1.477
VSiO3,V,Si,cubic,-2.177,0.596,0.6,8.819,0,3.533,3.533,90,90,4.538
NpTlO3,Np,Tl,orthorhombic,-2.175,0.397,0.796,14.89,0,5.786,8.312,90,90,1.144
ScRbO3,Sc,Rb,orthorhombic,-2.175,0.297,0,16.645,2.45,6.447,7.438,90,90,-12.193
ScTlO3,Sc,Tl,orthorhombic,-2.175,0.197,0,13.138,1.462,5.517,8.307,90,90,-3.495
HgPaO3,Hg,Pa,rhombohedral,-2.174,-0.133,0,16.217,0,6.126,6.126,59.9,59.9,1.965
HoWO3,Ho,W,cubic,-2.173,0.782,0.001,12.386,0,3.956,3.956,90,90,1.073
GaZrO3,Ga,Zr,cubic,-2.173,0.707,-0.088,14.219,0,4.143,4.143,90,90,0.185
TbMoO3,Tb,Mo,cubic,-2.173,0.583,0.004,12.366,0,3.954,3.954,90,90,1.824
PrCuO3,Pr,Cu,orthorhombic,-2.172,-0.052,0,11.27,0,5.414,7.661,90,90,1.338
AcPdO3,Ac,Pd,orthorhombic,-2.171,-0.122,0,13.678,0,5.715,8.081,90,90,1.499
ErGeO3,Er,Ge,cubic,-2.171,0.628,0,11.493,0,3.859,3.859,90,90,2.685
NaTbO3,Na,Tb,orthorhombic,-2.171,0.198,0,13.147,2.583,6.023,7.084,90,90,-1.346
TiThO3,Ti,Th,cubic,-2.171,1.469,0.4,18.617,0,4.532,4.532,90,90,2.591
ThTcO3,Th,Tc,cubic,-2.169,0.884,0.146,12.585,0,3.977,3.977,90,90,1.117
KErO3,K,Er,cubic,-2.169,0.366,0.4,16.819,0,4.381,4.381,90,90,-0.788
ReEuO3,Re,Eu,rhombohedral,-2.168,0.282,0.2,15.139,0,6.015,6.015,59.3,59.3,-14.217
CrSiO3,Cr,Si,cubic,-2.168,0.549,0.8,8.808,0,3.531,3.531,90,90,4.29
TcEuO3,Tc,Eu,rhombohedral,-2.167,0.362,0.2,14.492,0,5.75,5.75,63.5,63.5,-10.407
PdPaO3,Pd,Pa,tetragonal,-2.167,-0.048,0,16.975,0,4.235,4.477,90,90,2.262
NpCuO3,Np,Cu,rhombohedral,-2.167,0.381,0.764,11.006,0,5.365,5.365,60.3,60.3,1.586
HgPuO3,Hg,Pu,rhombohedral,-2.166,-0.028,0.8,15.168,1.442,6.063,6.063,58.4,58.4,-0.013
PrCdO3,Pr,Cd,orthorhombic,-2.166,0.117,0,14.152,0,5.678,8.166,90,90,-0.266
SmPdO3,Sm,Pd,orthorhombic,-2.166,-0.056,0.002,12.389,0,5.466,7.642,90,90,0.347
CsLuO3,Cs,Lu,cubic,-2.164,0.381,0.401,17.185,0,4.413,4.413,90,90,-0.707
AlThO3,Al,Th,cubic,-2.164,1.466,-0.156,18.528,0,4.525,4.525,90,90,-2.435
UAcO3,U,Ac,cubic,-2.164,1.345,0.602,20.164,0,4.654,4.654,90,90,0.184
VLiO3,V,Li,orthorhombic,-2.164,0.208,0,8.948,1.794,4.691,7.601,90,90,-5.697
TlNdO3,Tl,Nd,orthorhombic,-2.164,0.115,0,15.638,1.014,5.955,8.702,90,90,-3.035
NdSnO3,Nd,Sn,cubic,-2.162,0.615,0,14.186,0,4.139,4.139,90,90,2.655
GeThO3,Ge,Th,cubic,-2.162,0.978,0,18.789,0.323,4.546,4.546,90,90,2.191
NaLuO3,Na,Lu,rhombohedral,-2.162,0.399,0.4,13.882,0,5.762,5.762,61.2,61.2,-1.171
PaThO3,Pa,Th,cubic,-2.162,1.309,0.573,19.206,0,4.579,4.579,90,90,0.173
AlTiO3,Al,Ti,cubic,-2.161,1.032,0,11.337,0,3.841,3.841,90,90,0.011
DyAcO3,Dy,Ac,cubic,-2.161,1.554,0,20.224,0,4.659,4.659,90,90,0.805
PmPdO3,Pm,Pd,orthorhombic,-2.16,-0.06,0.001,12.489,0,5.486,7.672,90,90,0.446
RbErO3,Rb,Er,orthorhombic,-2.159,0.358,0.4,17.311,0,6.243,8.849,90,90,-0.704
TlTiO3,Tl,Ti,orthorhombic,-2.156,0.165,0,12,0,5.513,7.815,90,90,1.152
CeCuO3,Ce,Cu,orthorhombic,-2.156,-0.074,0,11.411,0,5.407,7.708,90,90,1.437
TcYbO3,Tc,Yb,orthorhombic,-2.156,0.345,0.325,12.456,0,5.481,7.834,90,90,-9.763
HfZrO3,Hf,Zr,cubic,-2.154,1.258,0.339,13.884,0,4.11,4.11,90,90,1.912
CeIrO3,Ce,Ir,orthorhombic,-2.152,0.087,0,12.777,0.99,5.443,7.906,90,90,0.432
KHoO3,K,Ho,orthorhombic,-2.152,0.363,0.4,16.945,0,6.193,8.782,90,90,-0.846
CoHfO3,Co,Hf,cubic,-2.152,0.649,0.599,13.183,0,4.04,4.04,90,90,0.544
BiPaO3,Bi,Pa,rhombohedral,-2.15,0.2,0.144,16.166,0,5.886,5.886,65.6,65.6,3.982
CeCdO3,Ce,Cd,orthorhombic,-2.15,0.105,0,14.37,0,5.714,8.207,90,90,-0.129
TlTbO3,Tl,Tb,orthorhombic,-2.148,0.101,0.001,14.477,0.958,5.801,8.484,90,90,-2.923
